prop,num_punct_in_sentence,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
8,7,0.7293,0.5783,5.8793,131.4828,1386.2133,0.032,2.7931,6.0517,394.382,182.0225,5.3966,261.1504,0.6632,0.0868,0.6331,0.0856,0.6491,0.0435,3.0526,15.3448,6.7109,5.7626,2.9921,3.8103,3.8966,3.5798,7.293,2.3043,8.1493,10.8621,7.7349,10.7261,19.7531,1.2343,5.967,2.9681,2.3062,1.4042,4.6478,2.6918,65.1685,21.3483,0.0,0.0,37.0787,89.8876,60.6742,182.0225,349.4382,53.9326,92.1348,57.3034,680.8989,192.1348,16.8539,133.7079,21.3483,20.2247,0.0,14.6067,6.7416,44.9438,6.7416,73.0337,35.9551,12.0518,22.1945,0.6809,0.3494,0.182,0.0921,0.0573,6.7416,0.5809,0.701,0.7099,0.7439,0.549,0.6759,0.6449,0.5595,0.3951,0.5,0.549,0.5009,0.1337,0.2564,0.2162,0.2456,0.2148,0.2807,0.2257,0.0324,0.0403,0.0226,0.0371
7,8,0.7699,0.6372,5.0341,2656.3182,1144.2537,0.0342,2.6364,5.1364,380.1514,195.122,4.8523,264.9019,0.6499,0.0855,0.6122,0.0884,0.6233,0.0728,3.52,13.5114,6.4978,5.5655,2.8855,3.0,3.3977,7.3933,5.8992,2.8493,7.2485,9.7386,7.3851,7.1615,11.1111,1.36,6.0264,2.8122,2.22,1.3028,4.8041,2.5642,74.0118,21.0261,0.0,3.3642,32.8007,102.6072,54.6678,195.122,337.2582,56.3499,64.7603,48.7805,645.9209,127.8385,10.0925,90.8326,19.344,6.7283,0.841,6.7283,5.0463,34.4828,0.0,46.2574,19.344,6.0231,9.3449,0.6459,0.3373,0.1951,0.0648,0.0488,22.7082,0.5383,0.6509,0.6207,0.8312,0.6897,0.6981,0.5929,0.4738,0.3276,0.5584,0.6897,0.5124,0.1432,0.1746,0.1343,0.1609,0.0778,0.1609,0.0802,0.0214,0.0433,0.0089,0.0241
5,4,0.7558,0.6,5.8451,1112.2676,1180.9641,0.0277,2.3944,5.4225,419.39,185.1852,4.9014,336.185,0.6318,0.156,0.5668,0.1344,0.5721,0.1516,2.6296,12.9296,6.8657,5.9379,3.0283,2.7465,2.8028,6.1508,6.1453,2.2353,7.7031,9.2676,7.8009,8.5859,15.0,1.2809,5.8894,3.1197,2.5122,1.4474,4.3247,2.962,77.342,29.4118,0.0,0.0,39.2157,83.878,37.037,185.1852,351.8519,88.2353,64.2702,45.7516,647.0588,147.0588,21.7865,103.4858,10.8932,10.8932,0.0,22.8758,7.6253,22.8758,2.1786,55.5556,29.4118,9.3528,16.3399,0.6471,0.3519,0.1852,0.0643,0.0458,4.3573,0.6166,0.7678,0.6647,0.8305,0.5952,0.7146,0.6732,0.6037,0.4412,0.5763,0.5714,0.5482,0.2005,0.2273,0.25,0.2286,0.0439,0.2571,0.0467,0.0313,0.0495,0.0072,0.0233
3,3,0.8835,0.7411,4.8226,907.5484,1192.3627,0.0403,2.5968,4.9839,353.5469,184.2105,4.9839,154.3694,0.6621,0.102,0.6435,0.0936,0.6607,0.0654,4.1333,14.0968,6.1561,5.4963,2.7017,2.8226,3.2258,5.0688,7.3575,2.2963,8.2566,9.3548,7.1431,11.5318,12.0,1.9619,6.6713,2.91,2.2543,1.3679,4.833,2.7572,70.9382,17.1625,0.0,2.2883,44.6224,77.8032,70.9382,184.2105,315.7895,35.4691,91.5332,73.2265,664.7597,173.913,18.3066,110.984,29.7483,13.73,1.1442,5.7208,2.2883,61.7849,6.865,76.659,24.0275,13.1943,13.73,0.6648,0.3158,0.1842,0.0915,0.0732,20.595,0.5195,0.6051,0.5776,0.8125,0.5938,0.6472,0.5275,0.4601,0.323,0.5875,0.5938,0.4911,0.101,0.3617,0.3254,0.377,0.2179,0.377,0.2179,0.034,0.0415,0.0234,0.0384
3,3,0.6812,0.5701,4.3897,1583.1103,1083.6528,0.0398,2.4044,4.0368,347.6884,207.0931,4.4779,170.7901,0.6354,0.0959,0.5854,0.0798,0.6072,0.0352,5.2308,11.6103,6.4416,5.6466,2.8519,2.625,2.6397,6.3771,5.9598,2.6582,7.4941,7.6471,7.6038,10.6886,13.2743,2.0059,5.9757,2.8357,2.2081,1.2915,4.1383,2.4882,86.1305,16.4661,0.0,0.6333,34.8322,85.4972,79.164,207.0931,276.1241,73.4642,69.6643,63.3312,616.2128,160.8613,11.3996,98.1634,41.7986,8.2331,1.2666,6.3331,3.7999,54.4649,1.2666,65.8645,18.9994,6.7692,8.4068,0.6162,0.2761,0.2071,0.0697,0.0633,24.6992,0.4699,0.6628,0.5566,0.8273,0.52,0.6417,0.5332,0.4564,0.2997,0.5455,0.5,0.4504,0.2101,0.1818,0.1294,0.1926,0.0285,0.1926,0.0293,0.0271,0.0482,0.0084,0.026
