num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_noun,num_lexic_words,num_total_prop,num_verb,num_subord,num_adj,num_rare_words,num_rare_verbs,num_dif_rare_words,num_indic,num_adv,num_inf,num_proper_noun,num_rare_nouns,num_neg,num_rare_advb,num_rare_adj,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
25,59.0,3,3,722.0,907.0,212.0,464.0,184.0,170.0,76.0,47.0,36.0,20.0,21.0,36.0,35.0,37.0,29.0,14.0,4.0,1.0,1.0,0.6245,0.519,427,5.1525,2751.2712,1402.9832,0.033,2.8814,4.0169,328.2548,235.4571,4.5593,265.0131,17.0,15.0,0.0,78.0,12.0,122.0,0.6183,0.1272,0.5718,0.1428,0.6023,0.1455,2.36,12.2373,6.3586,5.3164,2.813,3.1186,3.1356,7.2953,5.3411,2.65,7.6812,8.2203,7.3113,7.7586,16.0305,1.323,6.458,2.7803,2.057,1.2869,4.8505,2.6061,81.7175,34.626,0.0,0.0,0.0,0.0,51.2465,105.2632,49.8615,235.4571,293.6288,40.1662,65.097,48.4765,642.6593,168.9751,23.5457,108.0332,16.6205,20.7756,0.0,19.3906,1.385,27.7008,1.385,49.8615,29.0859,10.746,22.2029,0.6427,0.2936,0.2355,0.0651,0.0485,5.5402,0.5914,0.7547,0.6412,0.8298,0.7714,0.7493,0.5776,0.5802,0.3647,0.5532,0.7714,0.5674,0.1203,0.0882,0.0806,0.1034,0.0462,0.1034,0.0579,0.0231,0.0527,0.0105,0.0277
7,14.0,5,1,172.0,205.0,56.0,114.0,43.0,38.0,18.0,11.0,13.0,5.0,11.0,10.0,9.0,11.0,1.0,5.0,4.0,3.0,0.0,0.5345,0.4655,117,4.5714,1390.6429,1089.8201,0.0391,2.7143,4.1429,337.2093,220.9302,5.0,135.0161,3.0,4.0,0.0,20.0,6.0,33.0,0.6287,0.059,0.6098,0.102,0.615,0.0585,2.0,12.2857,6.4061,5.3576,2.8266,3.0714,2.3571,6.1818,5.3684,3.4286,6.5,8.1429,7.7018,11.4035,31.4286,1.3093,5.2973,2.6898,1.9539,1.292,3.2482,2.1065,81.3953,40.6977,0.0,0.0,1.0,5.814,63.9535,104.6512,58.1395,220.9302,325.5814,5.814,63.9535,52.3256,662.7907,191.8605,17.4419,116.2791,34.8837,23.2558,0.0,29.0698,0.0,29.0698,17.4419,75.5814,63.9535,66.2994,182.7244,0.6628,0.3256,0.2209,0.064,0.0523,23.2558,0.6802,0.8393,0.8421,0.7273,0.8889,0.8244,0.814,0.625,0.5526,0.6364,0.8889,0.6757,0.0175,0.2857,0.1538,0.3077,0.1099,0.3077,0.1978,0.0293,0.0528,0.0224,0.0476
4,9.0,2,3,109.0,133.0,34.0,72.0,20.0,23.0,7.0,8.0,8.0,3.0,6.0,8.0,7.0,2.0,3.0,3.0,2.0,2.0,0.0,0.9444,0.7778,82,5.0,1225.3333,1193.3498,0.0337,2.5556,4.0,330.2752,211.0092,4.4444,181.44,1.0,7.0,0.0,9.0,2.0,19.0,0.5933,0.1402,0.5411,0.1484,0.4879,0.1219,2.25,12.1111,6.3333,5.7576,2.6909,2.2222,2.6667,4.5,5.5769,1.9091,8.2667,7.1111,7.7031,11.1111,20.0,1.0897,5.9338,2.8356,2.2023,1.2986,3.7843,2.5229,82.5688,36.6972,0.0,0.0,0.0,0.0,18.3486,64.2202,73.3945,211.0092,311.9266,27.5229,73.3945,64.2202,660.5505,174.3119,9.1743,82.5688,18.3486,64.2202,0.0,27.5229,0.0,27.5229,18.3486,73.3945,55.0459,101.9367,183.4862,0.6606,0.3119,0.211,0.0734,0.0642,18.3486,0.7523,0.9412,0.8696,1.0,0.7143,0.8813,0.6972,0.7353,0.5217,0.875,0.7143,0.7116,0.0811,0.2,0.125,0.125,0.0278,0.125,0.0278,0.0503,0.0454,0.0173,0.0347
10,26.0,2,3,326.0,401.0,111.0,215.0,86.0,73.0,31.0,16.0,8.0,5.0,7.0,11.0,15.0,30.0,3.0,1.0,2.0,0.0,2.0,0.5043,0.453,196,5.2692,2087.4615,965.864,0.0421,2.8077,4.5,358.8957,223.9264,4.8462,102.1533,9.0,4.0,0.0,58.0,10.0,81.0,0.6573,0.1269,0.6118,0.1325,0.6201,0.1385,2.6,12.5385,6.4149,5.2578,2.8563,3.3077,2.8846,4.3214,5.92,2.4706,7.697,9.0385,7.3191,3.7209,14.0,1.2,5.1083,2.3065,1.7513,1.014,3.8077,1.8646,79.7546,30.6748,0.0,0.0,3.0,9.2025,92.0245,95.092,33.7423,223.9264,340.4908,9.2025,49.0798,46.0123,659.5092,248.4663,27.6074,177.9141,30.6748,12.2699,0.0,3.0675,6.135,15.3374,0.0,24.5399,21.4724,11.4138,42.9448,0.6595,0.3405,0.2239,0.0491,0.046,6.135,0.6012,0.6847,0.7123,0.875,0.7333,0.7513,0.7485,0.5045,0.4247,0.75,0.7333,0.6031,0.0263,0.4375,0.4286,0.44,0.2523,0.44,0.2492,0.0468,0.048,0.021,0.0377
12,28.0,1,1,306.0,380.0,113.0,215.0,77.0,54.0,20.0,26.0,16.0,7.0,14.0,11.0,22.0,18.0,3.0,5.0,0.0,2.0,2.0,0.6496,0.5214,190,5.3214,3197.7857,1073.3797,0.0399,1.9286,4.1786,382.3529,176.4706,3.8571,135.2327,4.0,8.0,0.0,36.0,10.0,58.0,0.6466,0.1276,0.5936,0.1197,0.6217,0.0653,2.3333,10.9286,6.7811,5.6465,3.0195,2.75,2.6429,4.8243,7.2462,3.3,7.9636,7.9643,7.7309,7.4419,20.8955,1.3123,5.2231,2.8455,2.1366,1.3163,4.0575,2.5673,91.5033,39.2157,0.0,0.0,1.0,3.268,58.8235,65.3595,35.9477,176.4706,369.281,9.8039,84.9673,71.8954,702.6144,189.5425,13.0719,117.6471,32.6797,26.1438,0.0,16.3399,6.5359,22.8758,6.5359,52.2876,45.7516,24.3199,68.2859,0.7026,0.3693,0.1765,0.085,0.0719,0.0,0.6209,0.6195,0.8704,0.8462,0.6364,0.7431,0.7092,0.4867,0.6111,0.6538,0.5909,0.5856,0.0259,0.4375,0.3448,0.4444,0.2646,0.4444,0.2646,0.0566,0.0919,0.0252,0.0489
