adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0703,0.8889,0.0938,1.0,3.0,23.4375,18.0,140.625,0.3,0.1455,0.0,0.0,0.0,0.0,0.0406,0.048,0.018,0.0375,0.8518,916.6363,6.4762,7.8667,3.0,39.0625,4.2727,0.7778,0.9167,0.7264,0.625,0.7266,0.5862,5.3445,1.8717,0.7031,10.0,78.125,0.0446,4.3636,15.625,122.0703,4.0,2.9091,8.8889,69.4445,2.6364,567.4545,96.4211,7.8125,0.3125,0.1429,0.1538,343.75,0.725,9.0,70.3125,12.0,93.75,0.9773,5.0,39.0625,87,0.0,0.0,8.0,62.5,5.0,90.0,703.125,0.7955,1.0,40.0,312.5,4,31.25,0.0,0.0,4.0,31.25,3,2.3636,0.0,0.0,0.0,0.0,1.0,7.8125,7.0,54.6875,8.0,62.5,11.0,85.9375,14.0,109.375,2.6512,1.2554,32.0,29.0,226.5625,128.0,154.0,7.3571,2,0.0909,11.6364,7.8182,4.1521,6.2125,2.75,1.299,0.5733,0.6217,0.0511,0.1593,0.5527,0.148,0.6797,0.3,0.1455,5.0,39.0625,0.2266,226.5625,0.7931,6.0672,7.0814,2.3138,2.6655
0.0377,1.0,0.0692,1.0,1.0,6.2893,31.0,194.9686,0.0,0.0256,5.0,31.4465,0.0,0.0,0.0,0.0,0.0027,0.0107,0.9586,1353.8592,5.6471,7.3333,1.6,50.3145,3.6923,0.8333,1.0,0.7681,0.7778,0.761,0.4615,5.1548,2.0261,0.6352,25.0,157.2327,0.0255,4.9231,18.4211,115.856,4.0,3.0769,7.9208,49.8164,3.0,946.1538,211.8158,12.5786,0.283,0.0,0.0,327.044,0.9111,6.0,37.7358,11.0,69.1824,0.5962,7.0,44.0252,123,0.0,0.0,16.0,100.6289,8.0,101.0,635.2201,0.4808,2.0,45.0,283.0189,6,37.7358,0.0,0.0,8.0,50.3145,4,2.1538,1.0,6.2893,0.0,0.0,1.0,6.2893,6.0,37.7358,8.0,50.3145,13.0,81.761,21.0,132.0755,2.8,1.2884,40.0,39.0,245.283,159.0,187.0,8.0,7,0.1509,12.2308,8.3077,4.9363,7.17,2.1667,0.8975,0.5923,0.5637,0.1171,0.0924,0.5539,0.1199,0.7736,0.0,0.0256,0.0,0.0,0.2453,245.283,0.9231,6.1484,7.2963,2.5505,2.8188
0.0514,0.7368,0.0622,0.913,7.0,18.9189,63.0,170.2703,0.2917,0.1533,8.0,21.6216,0.0,0.0,0.0374,0.0568,0.0138,0.0314,0.7892,1125.3393,6.0563,7.9149,2.4167,72.973,6.36,0.6316,0.913,0.6559,0.544,0.6811,0.5349,5.2735,1.9311,0.6838,44.0,118.9189,0.0328,4.64,16.8831,45.63,5.12,3.76,6.3241,17.0922,3.44,535.4,210.3145,13.5135,0.3378,0.3333,0.303,345.9459,0.728,19.0,51.3514,23.0,62.1622,0.4922,13.0,35.1351,241,0.0,0.0,17.0,45.9459,27.0,253.0,683.7838,0.4688,5.0,125.0,337.8378,10,27.027,1.0,2.7027,3.0,8.1081,2,3.28,5.0,13.5135,0.0,0.0,4.0,10.8108,7.0,18.9189,16.0,43.2432,25.0,67.5676,44.0,118.9189,2.841,1.1394,94.0,86.0,232.4324,370.0,452.0,6.7308,4,0.0234,14.8,10.56,3.1251,4.6904,2.5,1.6882,0.6731,0.6283,0.0959,0.089,0.6299,0.1168,0.6514,0.2917,0.1533,4.0,10.8108,0.2324,232.4324,0.7791,6.2624,7.1894,2.344,2.6164
0.0621,1.0,0.1056,0.8235,5.0,31.0559,24.0,149.0683,0.0,0.019,0.0,0.0,0.0,0.0,0.0095,0.0233,0.0091,0.026,0.9093,2159.5368,6.3462,7.3182,1.0,43.4783,5.4667,0.8,0.8235,0.7731,0.8261,0.882,0.6429,5.5187,2.2135,0.6273,19.0,118.0124,0.0154,4.7333,10.2564,63.7043,4.4,3.0667,4.9505,30.7484,1.8667,1574.0667,325.8182,6.2112,0.2857,0.0,0.0,409.9379,0.9565,10.0,62.1118,17.0,105.5901,0.6515,4.0,24.8447,137,0.0,0.0,11.0,68.323,7.0,101.0,627.3292,0.4848,1.0,46.0,285.7143,5,31.0559,2.0,12.4224,19.0,118.0124,7,2.8667,1.0,6.2112,0.0,0.0,0.0,0.0,4.0,24.8447,5.0,31.0559,15.0,93.1677,14.0,86.9565,2.9136,1.3398,46.0,28.0,173.913,161.0,204.0,4.2571,8,0.2923,10.7333,8.0,3.3466,3.6782,3.0,1.4142,0.5859,0.5319,0.0815,0.0836,0.5422,0.0914,0.8509,0.0,0.0286,0.0,0.0,0.1739,173.913,0.8571,6.3375,7.1583,2.6708,2.806
0.0714,0.8333,0.0357,0.8333,8.0,47.619,31.0,184.5238,0.3,0.2,2.0,11.9048,0.0,0.0,0.0251,0.0292,0.0224,0.0401,0.8256,980.7845,7.1364,8.0588,4.0,101.1905,6.2727,0.75,0.8333,0.7154,0.6735,0.8214,0.6047,5.5602,2.0781,0.6548,21.0,125.0,0.0348,4.9091,11.1111,66.1375,4.8182,4.1818,5.4545,32.4673,3.9091,4675.7273,169.5753,23.8095,0.2917,0.2,0.1667,315.4762,0.7755,12.0,71.4286,6.0,35.7143,0.3962,3.0,17.8571,119,0.0,0.0,10.0,59.5238,17.0,110.0,654.7619,0.3774,4.0,49.0,291.6667,6,35.7143,0.0,0.0,5.0,29.7619,3,2.7273,0.0,0.0,0.0,0.0,2.0,11.9048,4.0,23.8095,6.0,35.7143,11.0,65.4762,24.0,142.8571,2.9231,1.2733,46.0,43.0,255.9524,168.0,198.0,4.6923,5,0.0926,15.2727,10.5455,4.736,6.3831,1.8333,0.6872,0.7503,0.6996,0.0423,0.0649,0.6877,0.0879,0.7083,0.3,0.2,0.0,0.0,0.256,255.9524,0.8605,6.5241,7.7414,2.2094,2.832
