prop,num_punct_in_sentence,num_subord,num_total_prop,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
2,2,27.0,53.0,1.09,0.89,5.3333,912.8889,1054.8681,0.0354,3.1667,5.5556,371.7472,211.8959,5.6111,187.6605,3.6,14.9444,7.0079,6.1349,3.0558,2.9444,2.2778,6.0,6.7778,2.2222,7.6889,11.0,7.8737,9.2308,17.2414,1.9596,5.6713,3.1078,2.535,1.4353,4.2687,2.8372,66.9145,18.5874,0.0,0.0,52.0446,100.3717,52.0446,211.8959,371.7472,11.1524,111.5242,29.7398,724.9071,78.0669,7.4349,33.4572,29.7398,7.4349,0.0,14.8699,7.4349,37.1747,7.4349,66.9145,37.1747,34.3152,64.0944,0.7249,0.3717,0.2119,0.1115,0.0297,11.1524,0.6617,0.74,0.7368,0.8333,0.75,0.765,0.6803,0.58,0.5088,0.4667,0.75,0.5764,0.0291,0.2308,0.1515,0.2353,0.1569,0.2353,0.1569,0.0294,0.0578,0.017,0.0359
3,2,31.0,54.0,0.5949,0.5316,4.2857,239.4286,1619.7071,0.0264,3.2857,5.6429,383.4951,223.301,5.3571,188.4722,2.3333,14.7143,6.9849,6.0603,3.1359,3.8571,3.3571,7.3023,6.0526,3.2,7.913,10.5714,7.8851,3.9062,10.6383,0.7454,4.6203,2.8716,2.3332,1.3442,2.9692,2.6007,67.9612,29.1262,0.0,0.0,43.6893,150.4854,48.5437,223.301,305.8252,82.5243,58.2524,33.9806,621.3592,160.1942,29.1262,87.3786,29.1262,14.5631,0.0,4.8544,0.0,14.5631,4.8544,24.2718,24.2718,18.9621,51.6422,0.6214,0.3058,0.2233,0.0583,0.034,14.5631,0.7476,0.8254,0.8478,0.9167,1.0,0.8975,0.7816,0.6984,0.6087,0.8333,1.0,0.7851,0.2125,0.0,0.0,0.0769,0.1538,0.0769,0.1538,0.0171,0.0476,0.0156,0.0379
5,3,62.0,161.0,0.5365,0.4603,5.3469,372.2857,1130.5812,0.029,2.5306,6.4286,455.8611,179.4501,4.9388,325.3411,2.45,14.102,6.8884,6.7798,3.1027,3.2857,3.449,7.1667,5.8222,2.8036,7.962,10.7551,7.7324,4.9412,9.9237,1.244,8.3207,3.1174,18.4722,1.4364,7.1984,2.8965,70.9117,28.9436,0.0,0.0,8.6831,89.725,27.4964,179.4501,340.0868,164.9783,39.0738,56.4399,615.0507,133.1404,13.0246,101.3025,11.5774,7.2359,0.0,14.4718,1.4472,14.4718,0.0,30.3907,18.8133,7.1508,14.3614,0.6151,0.3401,0.1795,0.0391,0.0564,2.8944,0.6281,0.766,0.6774,0.7778,0.7179,0.7348,0.7395,0.5787,0.4919,0.7037,0.6923,0.6167,0.3266,0.1034,0.1176,0.1458,0.0765,0.1667,0.0774,0.0271,0.0613,0.0109,0.0325
5,7,26.0,52.0,0.7253,0.5824,5.6875,274.9375,982.7994,0.0409,2.9375,5.6875,400.8811,207.0485,5.5625,170.878,3.2,14.1875,7.0718,6.1435,3.0969,3.25,2.9375,6.7222,4.9796,2.5,7.0,10.125,7.9444,4.7297,10.2041,1.3266,5.0277,3.0087,2.3311,1.4539,4.2408,2.7916,70.4846,22.0264,0.0,0.0,13.2159,114.5374,30.837,207.0485,352.4229,57.2687,39.6476,52.8634,651.9824,118.9427,17.6211,79.2952,13.2159,8.8106,0.0,22.0264,0.0,8.8106,0.0,30.837,22.0264,20.8357,44.952,0.652,0.3524,0.207,0.0396,0.0529,13.2159,0.6432,0.725,0.7872,0.7778,0.6667,0.7392,0.7225,0.5875,0.5957,0.6667,0.6667,0.6291,0.1398,0.0,0.0909,0.0667,0.15,0.0667,0.15,0.0228,0.0602,0.0175,0.0421
4,5,37.0,70.0,0.754,0.619,7.75,25.1875,1186.1118,0.025,4.125,7.875,393.75,206.25,6.25,328.0062,3.2,20.0,6.6063,5.7619,3.0187,4.375,4.1875,4.1905,6.0714,2.0,8.3333,15.4375,7.4089,7.8049,14.2857,1.3266,7.9844,2.8802,2.4137,1.3298,6.7543,2.657,50.0,15.625,0.0,0.0,25.0,115.625,59.375,206.25,340.625,78.125,50.0,43.75,640.625,128.125,6.25,100.0,9.375,6.25,6.25,21.875,0.0,25.0,3.125,50.0,31.25,24.3903,44.6428,0.6406,0.3406,0.2062,0.05,0.0437,18.75,0.725,0.7339,0.8939,1.0,1.0,0.907,0.7063,0.5872,0.5606,1.0,1.0,0.787,0.1866,0.7273,0.7727,0.6,0.2917,0.6,0.2917,0.0308,0.0322,0.0175,0.0304
