adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0552,0.9,0.0608,0.9091,1.0,5.5249,24.0,132.5967,0.2143,0.1333,0.0,0.0,0.0,0.0,0.0237,0.0401,0.0156,0.0351,0.848,1162.2864,5.5849,7.6176,1.9474,44.1989,3.6,0.9,0.9091,0.7568,0.6557,0.7293,0.5625,5.2067,2.0946,0.7182,19.0,104.9724,0.025,4.6,12.7273,70.3166,4.2,3.5333,6.9231,38.2492,3.2,726.2667,220.8267,11.0497,0.337,0.2857,0.1667,348.0663,0.7705,10.0,55.2486,11.0,60.7735,0.5714,7.0,38.674,139,0.0,0.0,12.0,66.2983,8.0,130.0,718.232,0.4921,2.0,61.0,337.0166,8,44.1989,0.0,0.0,1.0,5.5249,2,2.6667,0.0,0.0,2.0,11.0497,4.0,22.0994,3.0,16.5746,9.0,49.7238,15.0,82.8729,27.0,149.1713,2.7418,1.2109,53.0,48.0,265.1934,181.0,221.0,7.9107,2,0.0161,12.0667,8.8,4.3696,5.9606,1.875,1.1659,0.5658,0.4986,0.2302,0.2003,0.5173,0.2329,0.768,0.2143,0.1333,4.0,22.0994,0.2652,265.1934,0.8125,5.9497,6.6591,2.5638,2.5876
0.0464,1.0,0.0549,0.7692,7.0,29.5359,25.0,105.4852,0.1579,0.0579,1.0,4.2194,0.0,0.0,0.022,0.0498,0.0115,0.0305,0.847,1180.178,5.7083,6.9714,2.3077,59.0717,5.1,0.9091,0.7692,0.7068,0.6143,0.7426,0.5345,5.3378,1.8979,0.6414,16.0,67.5105,0.0326,4.85,10.1695,42.9093,3.7,3.0,7.8947,33.311,2.9,1616.7,180.339,12.6582,0.2954,0.1538,0.1143,312.2363,0.8429,11.0,46.4135,13.0,54.8523,0.7703,6.0,25.3165,164,0.0,0.0,15.0,63.2911,14.0,152.0,641.3502,0.6351,3.0,70.0,295.3586,7,29.5359,0.0,0.0,2.0,8.4388,4,2.3,1.0,4.2194,0.0,0.0,3.0,12.6582,8.0,33.7553,12.0,50.6329,20.0,84.3882,29.0,122.3629,2.6849,1.1656,60.0,58.0,244.7257,237.0,283.0,6.9818,7,0.0278,11.85,8.4,4.0669,5.9521,2.8571,2.1665,0.6296,0.6287,0.0789,0.111,0.5906,0.1075,0.692,0.1579,0.0579,1.0,4.2194,0.2447,244.7257,0.7759,6.0848,6.9107,2.3675,2.5907
0.0513,1.0,0.0769,0.8333,3.0,19.2308,19.0,121.7949,0.1333,0.075,3.0,19.2308,0.0,0.0,0.0114,0.023,0.0097,0.0263,0.8826,1496.485,6.2273,7.8125,2.0,25.641,3.3125,0.875,0.8333,0.715,0.5849,0.8205,0.5667,5.381,2.0281,0.6603,12.0,76.9231,0.0302,3.875,15.1515,97.125,4.0,2.1875,7.767,49.7885,1.875,1886.6875,207.515,6.4103,0.3397,0.0909,0.0952,410.2564,0.8302,8.0,51.2821,12.0,76.9231,0.5625,5.0,32.0513,116,0.0,0.0,13.0,83.3333,4.0,103.0,660.2564,0.5156,1.0,53.0,339.7436,5,32.0513,0.0,0.0,10.0,64.1026,1,2.8125,1.0,6.4103,0.0,0.0,0.0,0.0,7.0,44.8718,8.0,51.2821,16.0,102.5641,12.0,76.9231,2.7613,1.2653,35.0,30.0,192.3077,156.0,201.0,5.7586,2,0.1587,9.75,6.75,3.4187,5.2738,3.2,1.1662,0.4936,0.4616,0.052,0.1225,0.4788,0.1435,0.7436,0.1333,0.075,1.0,6.4103,0.1923,192.3077,0.8667,6.3673,7.2593,2.5617,2.7899
0.0877,1.0,0.0468,1.0,0.0,0.0,18.0,105.2632,0.1875,0.2426,3.0,17.5439,0.0,0.0,0.0223,0.0393,0.0215,0.04,0.9065,1484.9424,6.0,7.7273,1.25,87.7193,3.7059,0.8667,1.0,0.8199,0.6949,0.8246,0.7179,5.5673,2.352,0.7076,14.0,81.8713,0.0242,4.5882,17.3913,101.7035,3.7059,2.4118,7.438,43.4971,2.2941,1607.8235,215.46,11.6959,0.345,0.2308,0.1961,368.4211,0.7288,15.0,87.7193,8.0,46.7836,0.7619,8.0,46.7836,133,0.0,0.0,5.0,29.2398,15.0,121.0,707.6023,0.6349,2.0,59.0,345.0292,4,23.3918,0.0,0.0,4.0,23.3918,2,2.4706,1.0,5.848,1.0,5.848,0.0,0.0,7.0,40.9357,9.0,52.6316,17.0,99.4152,13.0,76.0234,2.8837,1.3676,41.0,39.0,228.0702,171.0,213.0,6.1562,3,0.0635,10.0588,7.6471,2.6555,3.2804,4.25,3.4187,0.5933,0.5671,0.0703,0.0713,0.5794,0.0895,0.7778,0.1875,0.2426,1.0,5.848,0.2281,228.0702,0.8974,6.4211,7.2231,2.8963,3.0123
0.0814,0.8571,0.0407,1.0,2.0,11.6279,35.0,203.4884,0.1765,0.085,4.0,23.2558,0.0,0.0,0.0254,0.0423,0.0112,0.0339,0.8523,1001.8479,6.0,7.1875,2.2,58.1395,3.7222,0.8571,1.0,0.7419,0.6383,0.7791,0.4722,5.1802,2.3519,0.6047,28.0,162.7907,0.0352,4.1111,21.875,127.1802,3.1667,2.5556,6.7308,39.1326,2.0,4535.9444,130.8339,29.0698,0.2733,0.1538,0.0968,331.3953,0.8298,14.0,81.3953,7.0,40.6977,0.4912,7.0,40.6977,121,0.0,0.0,15.0,87.2093,10.0,104.0,604.6512,0.4737,5.0,47.0,273.2558,5,29.0698,4.0,23.2558,6.0,34.8837,2,2.4444,1.0,5.814,0.0,0.0,3.0,17.4419,3.0,17.4419,7.0,40.6977,18.0,104.6512,13.0,75.5814,2.7977,1.41,46.0,36.0,209.3023,172.0,216.0,6.5769,1,0.1132,9.5556,6.1111,2.9038,4.4873,3.6,1.7436,0.5734,0.5017,0.1125,0.1323,0.5411,0.1343,0.7035,0.1765,0.0719,1.0,5.814,0.2093,209.3023,0.7222,6.1686,7.5091,2.8083,2.9807
