prop,num_punct_in_sentence,num_words_more_3_syl,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,flesch,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,num_past_irregular_mean,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,num_first_pers_pron_incidence,num_first_pers_sing_pron_incidence,num_third_pers_pron_incidence,gerund_incidence,infinitive_incidence,num_subord_incidence,num_past_incidence,num_pres_incidence,num_future_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_past_irregular_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,ratio_proper_nouns_per_nouns,level
2,2,46.0,1.4459,1.223,5.9231,2.7377,900.6496,0.0602,2.6154,5.6923,310.9244,142.8571,5.0769,76.3195,73.9645,2.1667,18.3077,4.434,4.2511,1.9034,3.1154,2.8462,4.0296,6.78,1.6923,7.5402,0.3667,7.1538,6.9677,29.9107,33.3333,0.986,9.2519,2.7201,2.5089,1.0567,3.8199,2.2478,54.6218,25.2101,2.1008,50.4202,6.3025,6.3025,39.916,16.8067,18.9076,67.2269,63.0252,6.3025,0.0,79.8319,142.8571,218.4874,0.0,60.9244,48.3193,23.1092,470.5882,73.5294,2.1008,50.4202,4.2017,16.8067,0.0,46.2185,33.6134,58.8235,2.1008,140.7563,115.5462,62.8376,70.0279,0.4706,0.2185,0.1429,0.0609,0.0483,16.8067,0.4664,0.6635,0.8676,0.8621,0.5652,0.7396,0.5315,0.6442,0.6324,0.8276,0.5652,0.6673,0.2143,0.1905,0.28,0.24,0.2,0.2185,0.0276,0.0622,0.019,0.0359,,1
2,2,13.0,1.2,1.1,3.3333,3.434,700.385,0.0496,1.6667,3.3333,320.5128,160.2564,4.2,110.3883,83.1551,2.5,10.4,4.5705,4.3654,1.8846,2.0667,1.6667,2.8293,5.5625,1.0,6.84,0.0,4.1333,6.4677,16.8675,22.0339,1.6073,4.8689,2.4472,2.3345,0.9403,1.9956,2.0535,96.1538,38.4615,0.0,32.0513,0.0,0.0,32.0513,0.0,32.0513,70.5128,25.641,83.3333,0.0,115.3846,160.2564,230.7692,25.641,38.4615,102.5641,0.0,532.0513,96.1538,25.641,51.2821,0.0,19.2308,0.0,25.641,25.641,38.4615,0.0,89.7436,83.3333,108.125,141.2429,0.5321,0.2308,0.1603,0.0385,0.1026,6.4103,0.6346,0.75,0.76,0.6667,0.5625,0.6848,0.7179,0.75,0.76,0.6667,0.5625,0.6848,0.0,0.0526,0.0714,0.0952,0.0,0.0762,0.0079,0.0286,0.0241,0.0689,0.1,1
1,2,37.0,1.4598,1.2529,4.2941,2.7312,1145.4842,0.0471,3.0,5.1176,272.7273,159.8746,5.2941,81.4482,63.5621,4.25,18.7647,4.6803,4.5705,2.069,3.1765,2.5294,3.9348,6.7846,2.0909,7.7407,0.3125,7.9412,7.1185,33.3333,36.4964,2.9475,12.1681,2.9834,2.9276,1.2015,4.9761,2.7027,53.2915,12.5392,0.0,59.5611,3.1348,3.1348,53.2915,6.2696,25.0784,68.9655,50.1567,21.9436,0.0,97.1787,159.8746,206.8966,3.1348,78.3699,81.5047,15.674,526.6458,109.7179,25.0784,56.4263,12.5392,12.5392,3.1348,62.6959,28.2132,72.1003,12.5392,175.5486,156.7398,104.4931,114.4088,0.5266,0.2069,0.1599,0.0784,0.0815,12.5392,0.5737,0.7273,0.8824,0.96,0.7692,0.8347,0.605,0.7273,0.7647,0.96,0.7692,0.8053,0.1538,0.2444,0.3125,0.3235,0.1875,0.1912,0.0123,0.0278,0.0142,0.0274,0.0149,1
2,1,33.0,1.2083,0.9479,3.2105,2.9237,941.5679,0.0505,3.3684,5.0526,289.1566,192.7711,5.3684,93.3703,68.294,4.75,17.4737,4.6596,4.5602,2.012,3.2632,2.4737,4.1463,6.4333,1.5714,7.913,0.4375,6.8421,7.2538,30.1775,36.2205,3.562,10.1741,2.7771,2.6807,1.1327,4.3439,2.2474,57.2289,12.0482,0.0,75.3012,12.0482,9.0361,51.2048,0.0,30.1205,96.3855,48.1928,63.253,0.0,126.506,192.7711,186.747,0.0,30.1205,99.3976,21.0843,509.0361,111.4458,30.1205,36.1446,15.0602,21.0843,9.0361,51.2048,27.1084,69.2771,6.0241,153.6145,138.5542,90.8961,109.0979,0.509,0.1867,0.1928,0.0301,0.0994,27.1084,0.5512,0.6935,0.875,0.9,0.5758,0.7611,0.6054,0.6935,0.75,0.9,0.5758,0.7298,0.1333,0.1639,0.2778,0.3041,0.1667,0.1988,0.0237,0.0421,0.0249,0.0372,,1
1,2,32.0,1.4348,1.2065,6.4615,2.0038,1120.6483,0.0527,3.3077,7.0769,302.6316,141.4474,5.8462,75.3626,65.1587,2.6,23.3846,4.4518,4.289,1.9638,3.4615,2.6923,4.0986,6.2364,2.2727,7.2273,0.15,8.7692,7.2193,35.8209,35.9649,1.3565,11.2355,2.8217,2.6513,1.1219,4.0221,2.2856,42.7632,16.4474,0.0,59.2105,0.0,0.0,55.9211,9.8684,29.6053,72.3684,65.7895,0.0,0.0,75.6579,141.4474,210.5263,6.5789,39.4737,49.3421,9.8684,440.7895,78.9474,19.7368,39.4737,3.2895,13.1579,3.2895,55.9211,13.1579,82.2368,6.5789,157.8947,134.8684,117.8319,118.3056,0.4408,0.2105,0.1414,0.0395,0.0493,13.1579,0.5493,0.7812,0.9535,1.0,0.7333,0.867,0.5855,0.75,0.8837,1.0,0.7333,0.8417,0.25,0.3333,0.5833,0.4103,0.25,0.2051,0.0169,0.0203,0.0144,0.0253,0.0303,1
