adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0512,0.9388,0.0658,0.7302,13.0,13.5841,164.0,171.3689,0.1852,0.047,14.0,14.629,1.0,1.0449,0.0267,0.0648,0.007,0.0233,0.7631,1303.2824,5.6318,8.0246,1.9367,22.9885,4.3171,0.8367,0.6984,0.612,0.5366,0.6176,0.3762,5.4539,2.2432,0.6708,119.0,124.3469,0.0303,4.5488,14.554,15.2079,4.3293,2.8293,9.8131,10.254,2.4634,4249.2317,272.5565,13.5841,0.3427,0.2174,0.1145,370.9509,0.7348,49.0,51.2017,63.0,65.8307,0.5549,31.0,32.3929,564,0.0,0.0,58.0,60.6061,22.0,642.0,670.8464,0.4873,13.0,328.0,342.7377,13,13.5841,4.0,4.1797,28.0,29.2581,5,2.5366,3.0,3.1348,5.0,5.2247,23.0,24.0334,32.0,33.4378,63.0,65.8307,82.0,85.6844,90.0,94.0439,2.8257,1.3226,232.0,202.0,211.0763,957.0,1165.0,6.9174,4,0.0787,11.6707,7.9634,4.5464,6.2918,6.3077,3.4947,0.6027,0.5654,0.0624,0.1168,0.5501,0.1109,0.5893,0.1852,0.047,17.0,17.7638,0.2111,211.0763,0.6485,6.3051,7.3691,2.5999,2.847
0.0414,0.875,0.0491,0.7544,33.0,28.4483,174.0,150.0,0.1979,0.0556,25.0,21.5517,1.0,0.8621,0.0163,0.0338,0.0067,0.0228,0.7187,1029.387,5.2155,7.3462,2.5,25.8621,4.5258,0.7083,0.7368,0.5599,0.4598,0.5819,0.3347,5.6279,2.138,0.6078,99.0,85.3448,0.0362,4.3505,13.0,11.2069,4.567,2.6289,6.6667,5.7472,2.4639,3069.7423,301.4921,18.1034,0.3112,0.1781,0.1405,381.8966,0.626,48.0,41.3793,57.0,49.1379,0.6975,26.0,22.4138,608,0.0,0.0,68.0,58.6207,30.0,705.0,607.7586,0.5688,21.0,361.0,311.2069,24,20.6897,2.0,1.7241,92.0,79.3103,1,3.1443,2.0,1.7241,2.0,1.7241,20.0,17.2414,23.0,19.8276,47.0,40.5172,97.0,83.6207,107.0,92.2414,2.8725,1.2844,255.0,239.0,206.0345,1160.0,1465.0,7.2183,3,0.2031,11.9588,8.1546,4.5256,5.9706,4.0417,1.7673,0.5886,0.5906,0.0629,0.1407,0.5604,0.1192,0.5241,0.1979,0.0558,16.0,13.7931,0.206,206.0345,0.6192,6.4728,7.3692,2.5273,2.6985
0.0699,0.8125,0.0495,0.8529,20.0,29.1121,114.0,165.9389,0.234,0.0824,15.0,21.8341,0.0,0.0,0.0204,0.0304,0.0089,0.0222,0.7675,1121.2734,6.1299,7.5877,1.975,52.4017,5.7917,0.6458,0.8235,0.6148,0.5727,0.6346,0.4172,5.788,2.2768,0.6594,74.0,107.7147,0.0319,4.8958,11.1842,16.2798,4.9583,3.2292,7.5055,10.925,3.1458,2576.2292,255.6149,11.6448,0.3202,0.25,0.1852,346.4338,0.7227,48.0,69.869,34.0,49.4905,0.6933,17.0,24.7453,415,0.0,0.0,37.0,53.8574,36.0,453.0,659.3886,0.6429,8.0,220.0,320.2329,12,17.4672,0.0,0.0,21.0,30.5677,5,3.5208,0.0,0.0,1.0,1.4556,11.0,16.0116,22.0,32.0233,34.0,49.4905,48.0,69.869,61.0,88.7918,2.8895,1.2573,155.0,151.0,219.7962,687.0,856.0,5.4457,6,0.0871,14.3125,9.7083,4.6769,6.6776,4.0,2.4495,0.6507,0.629,0.094,0.1035,0.625,0.1048,0.6041,0.234,0.0842,5.0,7.278,0.2198,219.7962,0.6821,6.5233,7.5815,2.6211,2.8769
0.0547,0.8857,0.0453,0.8276,8.0,12.5,97.0,151.5625,0.3333,0.2821,20.0,31.25,0.0,0.0,0.0396,0.0456,0.0288,0.0401,0.7424,1163.0057,7.5789,9.1905,1.5357,50.0,5.7,0.7429,0.8276,0.6071,0.502,0.6328,0.3561,5.7682,2.3063,0.6984,65.0,101.5625,0.0355,5.4,14.4,22.5,6.95,3.8,9.6197,15.0308,3.3,211.975,217.6899,4.6875,0.3922,0.2963,0.2549,434.375,0.6653,35.0,54.6875,29.0,45.3125,0.6691,18.0,28.125,373,0.0,0.0,39.0,60.9375,32.0,447.0,698.4375,0.5647,3.0,251.0,392.1875,13,20.3125,0.0,0.0,32.0,50.0,12,4.4,5.0,7.8125,1.0,1.5625,10.0,15.625,27.0,42.1875,43.0,67.1875,40.0,62.5,76.0,118.75,3.0406,1.4464,152.0,132.0,206.25,640.0,816.0,4.4218,8,0.1131,16.0,11.625,5.6289,7.2076,3.0769,1.2065,0.6767,0.6566,0.0822,0.1013,0.6484,0.1018,0.5828,0.3333,0.2821,4.0,6.25,0.2062,206.25,0.5909,6.7536,7.757,2.872,3.1274
0.0789,0.8,0.0449,0.6296,38.0,31.5615,192.0,159.4684,0.2824,0.1021,19.0,15.7807,0.0,0.0,0.0277,0.0424,0.015,0.0302,0.6571,1105.4013,6.5633,7.7473,1.9787,59.8007,4.4651,0.5579,0.6296,0.4951,0.4498,0.5174,0.3432,5.504,2.1474,0.6669,123.0,102.1595,0.0381,5.0349,15.1659,12.5963,5.1628,3.0116,10.5853,8.7918,2.7442,1701.9651,160.2754,13.289,0.3472,0.2857,0.2335,368.7708,0.6268,95.0,78.9037,54.0,44.8505,0.759,32.0,26.5781,610,0.0,0.0,78.0,64.7841,72.0,803.0,666.9435,0.6577,16.0,418.0,347.1761,16,13.289,0.0,0.0,33.0,27.4086,2,3.3605,8.0,6.6445,0.0,0.0,16.0,13.289,61.0,50.6645,85.0,70.598,86.0,71.4286,91.0,75.5814,2.8033,1.3209,259.0,236.0,196.0133,1204.0,1493.0,5.3619,4,0.0732,14.0,9.2326,5.08,7.6675,5.375,2.2044,0.6386,0.6282,0.0559,0.1155,0.6025,0.1071,0.5066,0.2824,0.1031,12.0,9.9668,0.196,196.0133,0.572,6.3197,7.4043,2.6029,2.8855
