adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0426,0.875,0.0319,0.8333,1.0,5.3191,28.0,148.9362,0.2,0.2,3.0,15.9574,0.0,0.0,0.0186,0.0352,0.0145,0.0293,0.842,1137.0789,4.9688,7.4118,2.2,26.5957,5.8182,0.875,0.8333,0.7433,0.6164,0.8298,0.6486,6.4674,2.7661,0.6596,24.0,127.6596,0.0278,5.8182,17.5,93.0851,7.4545,3.6364,6.4516,34.317,3.3636,4477.7273,208.5944,10.6383,0.3883,0.1667,0.3333,436.1702,0.8219,8.0,42.5532,6.0,31.9149,0.6951,7.0,37.234,140,0.0,0.0,5.0,26.5957,5.0,124.0,659.5745,0.5122,2.0,73.0,388.2979,5,26.5957,0.0,0.0,14.0,74.4681,1,3.7273,1.0,5.3191,0.0,0.0,3.0,15.9574,4.0,21.2766,8.0,42.5532,11.0,58.5106,18.0,95.7447,3.3333,1.62,40.0,37.0,196.8085,188.0,229.0,5.7297,1,0.1609,17.0909,12.5455,5.8366,6.6804,2.2,0.9798,0.6764,0.6168,0.1563,0.1365,0.6272,0.1527,0.7447,0.2,0.2,0.0,0.0,0.1968,196.8085,0.8378,7.4293,8.5435,3.2081,3.4884
0.0395,1.0,0.0678,0.75,5.0,28.2486,26.0,146.8927,0.7,0.4364,1.0,5.6497,0.0,0.0,0.0479,0.0426,0.0335,0.0371,0.8579,1370.1932,5.9231,7.2778,2.875,22.5989,6.1818,0.8571,0.75,0.7099,0.5873,0.7966,0.6452,5.8155,2.3921,0.6384,13.0,73.4463,0.0317,5.0,30.9524,174.8723,7.0,3.2727,14.1593,79.996,2.8182,7.3636,199.3662,11.2994,0.3559,0.8571,0.6923,435.0282,0.746,7.0,39.548,12.0,67.7966,0.8442,13.0,73.4463,128,0.0,0.0,9.0,50.8475,4.0,113.0,638.4181,0.6623,2.0,63.0,355.9322,4,22.5989,0.0,0.0,18.0,101.6949,3,3.9091,1.0,5.6497,1.0,5.6497,8.0,45.1977,6.0,33.8983,16.0,90.3955,11.0,62.1469,16.0,90.3955,2.8371,1.3988,36.0,31.0,175.1412,177.0,220.0,4.8286,3,0.2222,16.0909,11.3636,5.1217,9.1299,2.75,1.299,0.6753,0.6704,0.0057,0.052,0.6495,0.0682,0.7232,0.7,0.4364,7.0,39.548,0.1751,175.1412,0.9355,6.5833,7.496,2.8471,3.0167
0.0667,1.0,0.0444,1.0,6.0,33.3333,29.0,161.1111,0.4,0.2,5.0,27.7778,0.0,0.0,0.0402,0.0373,0.0187,0.0339,0.932,1556.138,6.8333,7.875,2.6667,27.7778,5.6364,0.8333,1.0,0.802,0.7167,0.8111,0.6579,8.6568,36.5084,0.6556,16.0,88.8889,0.0252,5.7273,15.0,83.3333,6.3636,3.3636,9.322,51.7889,3.4545,8.0,260.47,11.1111,0.3333,0.3333,0.25,388.8889,0.8333,12.0,66.6667,8.0,44.4444,0.6571,6.0,33.3333,138,0.0,0.0,10.0,55.5556,5.0,118.0,655.5556,0.5286,2.0,60.0,333.3333,5,27.7778,0.0,0.0,13.0,72.2222,5,4.5455,1.0,5.5556,0.0,0.0,4.0,22.2222,6.0,33.3333,11.0,61.1111,11.0,61.1111,14.0,77.7778,3.0055,1.4847,37.0,38.0,211.1111,180.0,230.0,7.871,5,0.1781,16.3636,11.6364,3.3104,5.5804,2.2,0.7483,0.6986,0.641,0.0402,0.073,0.6565,0.0724,0.7667,0.4,0.2,2.0,11.1111,0.2111,211.1111,0.8947,6.8284,7.7734,2.7761,3.0265
0.0382,0.8,0.0534,0.8571,5.0,38.1679,14.0,106.8702,0.3333,0.2444,2.0,15.2672,0.0,0.0,0.0244,0.0363,0.0228,0.0446,0.8194,838.4394,6.5926,8.2778,3.2222,68.7023,5.6,0.8,0.8571,0.7701,0.7234,0.8779,0.7,5.8231,1.9864,0.6794,6.0,45.8015,0.0305,4.9,9.375,71.5649,5.0,2.9,4.4944,34.3084,3.0,7.1,134.8135,7.6336,0.3588,0.1667,0.2222,381.6794,0.7872,5.0,38.1679,7.0,53.4351,0.64,3.0,22.9008,99,0.0,0.0,8.0,61.0687,9.0,89.0,679.3893,0.54,1.0,47.0,358.7786,4,30.5344,0.0,0.0,5.0,38.1679,2,3.0,0.0,0.0,1.0,7.6336,0.0,0.0,3.0,22.9008,4.0,30.5344,10.0,76.3359,15.0,114.5038,2.9394,1.1982,29.0,30.0,229.0076,131.0,161.0,5.0714,3,0.0962,13.1,9.5,4.3186,5.2048,2.5,0.866,0.6645,0.6457,0.0292,0.0994,0.6498,0.0876,0.7557,0.3333,0.2444,1.0,7.6336,0.229,229.0076,0.8333,6.5769,7.4,2.3593,2.5925
0.0531,0.9167,0.0442,0.9,4.0,17.6991,32.0,141.5929,0.2308,0.1648,5.0,22.1239,0.0,0.0,0.045,0.0479,0.0287,0.0442,0.8193,1231.9834,5.5778,8.2917,2.4762,13.2743,8.2857,0.8333,0.9,0.6909,0.6269,0.7257,0.4035,8.2968,32.1266,0.646,18.0,79.646,0.0328,5.7857,19.5652,86.5717,5.4286,4.2143,6.8493,30.3066,4.0714,309.2857,187.9491,22.1239,0.2965,0.125,0.1429,336.2832,0.7761,12.0,53.0973,10.0,44.2478,0.75,9.0,39.823,157,0.0,0.0,11.0,48.6726,3.0,146.0,646.0177,0.5526,5.0,67.0,296.4602,6,26.5487,0.0,0.0,12.0,53.0973,4,3.2857,1.0,4.4248,1.0,4.4248,2.0,8.8496,6.0,26.5487,10.0,44.2478,14.0,61.9469,37.0,163.7168,2.9956,1.4312,59.0,57.0,252.2124,226.0,272.0,8.2041,12,0.1519,16.1429,11.2143,4.3289,5.8537,2.3333,1.2472,0.7296,0.7414,0.0456,0.0909,0.7141,0.0776,0.6947,0.2308,0.1648,5.0,22.1239,0.2522,252.2124,0.6842,7.1553,8.4522,3.1165,3.4301
