prop,num_punct_in_sentence,num_words_more_3_syl,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,flesch,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,num_past_irregular_mean,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,num_first_pers_pron_incidence,num_first_pers_sing_pron_incidence,num_third_pers_pron_incidence,gerund_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_past_irregular_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,level
5,2,15.0,1.416,1.008,4.6667,3.4778,822.5475,0.0575,3.0,6.9444,359.1954,155.1724,5.3333,77.1862,76.2579,0.7583,0.0782,0.7541,0.0806,0.7355,0.0721,1.8,19.3333,4.389,4.0893,1.8477,3.5,2.2778,4.988,6.0328,1.7333,7.4348,0.75,6.5556,6.6186,26.1438,26.6667,0.9798,10.2578,2.3745,2.2291,0.9017,4.3744,1.8637,51.7241,28.7356,0.0,68.9655,8.6207,5.7471,60.3448,5.7471,31.6092,74.7126,106.3218,155.1724,201.1494,17.2414,40.2299,43.1034,34.4828,439.6552,114.9425,31.6092,51.7241,14.3678,17.2414,0.0,54.5977,14.3678,45.977,0.0,114.9425,91.954,75.1259,76.6284,0.4397,0.2011,0.1552,0.0402,0.0431,14.3678,0.5115,0.7429,0.8333,1.0,0.6,0.7941,0.6236,0.7286,0.6481,1.0,0.6,0.7442,0.0789,0.125,0.1667,0.2941,0.2222,0.1176,0.1307,0.0143,0.0268,0.0141,0.0299,0
7,3,20.0,1.6739,1.2391,4.4167,2.7817,831.3525,0.0558,3.8333,7.6667,305.6478,152.8239,5.9167,88.3638,69.4278,0.8143,0.0526,0.7961,0.0684,0.8072,0.01,3.0,25.0833,4.2508,4.01,1.8638,4.6667,2.6667,5.04,6.62,2.1,7.75,0.3684,9.0833,6.4404,20.1389,25.0,1.5811,11.4489,2.3832,2.1507,0.9212,4.0714,2.1393,39.8671,13.289,0.0,59.8007,6.6445,6.6445,49.8339,6.6445,23.2558,86.3787,106.3123,152.8239,196.0133,26.5781,69.7674,59.8007,23.2558,478.4053,106.3123,19.9336,63.1229,13.289,9.9668,0.0,23.2558,19.9336,53.1561,0.0,96.3455,93.0233,66.9066,83.0565,0.4784,0.196,0.1528,0.0698,0.0598,6.6445,0.5349,0.7288,0.8913,0.8095,0.6111,0.7602,0.5615,0.678,0.6957,0.7619,0.5556,0.6728,0.1194,0.25,0.4118,0.4545,0.3636,0.2727,0.2879,0.0289,0.0249,0.025,0.0311,0
5,2,26.0,1.6281,1.1901,5.9333,2.886,895.1695,0.0495,3.9333,8.0667,320.9549,156.4987,6.2,99.621,67.8884,0.8015,0.0567,0.8001,0.051,0.8028,0.0064,5.0,25.1333,4.4562,4.2149,1.8886,4.2667,2.5333,5.0556,6.1594,1.9474,7.76,0.4545,9.0667,6.7426,22.6744,25.1799,0.8165,14.6782,2.5934,2.4493,1.0057,5.4707,2.2719,39.7878,7.9576,0.0,66.313,18.5676,2.6525,47.7454,7.9576,37.1353,84.8806,87.5332,156.4987,196.2865,23.8727,53.0504,50.3979,13.2626,456.2334,92.8382,21.2202,42.4403,10.6101,15.9151,2.6525,39.7878,10.6101,47.7454,5.305,103.4483,92.8382,60.1443,66.7902,0.4562,0.1963,0.1565,0.0531,0.0504,5.305,0.5438,0.7973,0.8644,0.85,0.6316,0.7858,0.6021,0.7568,0.7119,0.75,0.6316,0.7126,0.1084,0.25,0.1935,0.2857,0.2381,0.2143,0.1714,0.0279,0.0354,0.015,0.0259,0
3,6,25.0,1.058,0.942,4.3571,3.04,942.3933,0.0511,3.6429,4.9286,281.6327,208.1633,4.8571,88.9038,74.3778,0.8079,0.0578,0.7718,0.0704,0.799,0.025,2.3333,17.5,4.4571,4.2653,1.9102,3.5714,2.5714,4.6027,5.7455,2.0556,7.5405,0.4167,6.5714,6.8913,18.3333,21.5686,1.7951,4.9678,2.7351,2.5792,1.0767,1.8406,2.2958,57.1429,24.4898,0.0,85.7143,0.0,0.0,69.3878,16.3265,61.2245,97.9592,122.449,208.1633,183.6735,24.4898,28.5714,69.3878,20.4082,489.7959,89.7959,20.4082,36.7347,4.0816,28.5714,0.0,8.1633,4.0816,73.4694,4.0816,89.7959,89.7959,74.8298,88.0351,0.4898,0.1837,0.2082,0.0286,0.0694,8.1633,0.5796,0.7778,0.9608,0.7143,0.8235,0.8191,0.6122,0.7556,0.7843,0.7143,0.7647,0.7547,0.1176,0.25,0.1579,0.4615,0.2747,0.3077,0.1429,0.0285,0.0381,0.0147,0.0304,0
2,1,20.0,1.18,0.99,3.1667,3.6075,640.3329,0.0726,2.5,4.1667,296.7359,178.0415,4.5833,74.1895,82.1317,0.7796,0.0968,0.7323,0.0941,0.7464,0.0871,1.8462,14.0417,4.2246,4.1138,1.8398,2.7083,1.7083,3.7841,5.7895,1.3333,7.8462,0.75,4.875,6.1709,11.5385,17.7083,1.0263,6.5985,2.3549,2.2238,0.9765,2.1854,2.1335,71.2166,38.5757,0.0,89.0208,8.9021,8.9021,59.3472,11.8694,23.7389,74.184,112.7596,178.0415,160.2374,38.5757,47.4777,77.1513,26.7062,462.908,127.5964,32.6409,41.543,23.7389,29.6736,0.0,8.9021,2.9674,41.543,0.0,53.4125,50.4451,34.2389,52.5469,0.4629,0.1602,0.178,0.0475,0.0772,20.7715,0.451,0.5556,0.75,0.6875,0.4231,0.604,0.5905,0.5,0.6167,0.6875,0.4231,0.5568,0.194,0.4545,0.2941,0.4783,0.2609,0.3043,0.1812,0.0545,0.0815,0.0294,0.0516,0
