prop,num_punct_in_sentence,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
3,5,0.7308,0.5513,6.0909,580.5455,1210.4989,0.028,3.8182,7.0909,404.1451,217.6166,5.6364,239.5018,0.6618,0.0918,0.6293,0.1341,0.6586,0.0158,2.2,17.5455,7.2032,8.754,3.1134,3.5455,3.7273,5.7838,6.7586,2.8889,8.5,12.9091,8.1408,6.0606,16.6667,0.7483,7.5482,3.3561,34.7342,1.481,5.5343,3.1747,56.9948,25.9067,0.0,0.0,46.6321,98.4456,20.7254,217.6166,378.2383,36.2694,31.0881,56.9948,683.9378,176.1658,15.544,124.3523,15.544,20.7254,0.0,15.544,5.1813,20.7254,0.0,41.4508,41.4508,31.4021,86.356,0.6839,0.3782,0.2176,0.0311,0.057,5.1813,0.7409,0.8082,0.9048,0.8333,0.7273,0.8184,0.7772,0.7397,0.6429,0.6667,0.7273,0.6942,0.0875,0.1667,0.125,0.3,0.2727,0.3,0.2727,0.0184,0.0244,0.0214,0.0347
3,3,0.5476,0.4881,6.6154,9.0769,1007.8386,0.0325,3.8462,6.4615,411.7647,245.098,4.9231,178.2819,0.6817,0.09,0.6617,0.0901,0.6596,0.0205,2.6,15.6923,6.7879,5.7929,2.9659,3.8462,3.8462,5.766,5.05,1.8235,7.4348,11.7692,7.5686,5.0725,12.5,1.0198,5.5937,3.3763,2.7455,1.4496,4.7581,3.3777,63.7255,24.5098,0.0,0.0,29.4118,142.1569,53.9216,245.098,328.4314,88.2353,73.5294,29.4118,676.4706,83.3333,9.8039,49.0196,19.6078,4.902,0.0,4.902,0.0,29.4118,0.0,34.3137,24.5098,24.8652,61.2745,0.6765,0.3284,0.2451,0.0735,0.0294,9.8039,0.7059,0.791,0.74,0.9333,1.0,0.8661,0.7304,0.6119,0.42,0.9333,1.0,0.7413,0.2118,0.625,0.5385,0.6667,0.2436,0.6667,0.2564,0.042,0.0292,0.0206,0.0305
3,1,0.5068,0.4521,6.4,455.6667,1104.0342,0.0299,3.2667,4.8667,345.9716,232.2275,4.9333,226.6524,0.665,0.0506,0.6654,0.0615,0.6621,0.0344,3.0,14.0667,6.8195,5.8488,3.0377,3.5333,2.7333,7.7209,5.55,2.2222,8.2727,10.2,7.8758,6.25,14.8936,1.4142,5.8019,2.8664,2.0557,1.3453,4.5782,2.4663,71.09,23.6967,0.0,0.0,42.654,104.2654,37.9147,232.2275,322.2749,37.9147,90.0474,37.9147,682.4645,156.3981,14.218,90.0474,23.6967,28.436,0.0,9.4787,9.4787,23.6967,0.0,42.654,33.1754,29.6209,70.5858,0.6825,0.3223,0.2322,0.09,0.0379,14.218,0.7204,0.8382,0.7755,0.8421,0.875,0.8327,0.763,0.6765,0.551,0.7895,0.875,0.723,0.1053,0.0,0.0,0.0714,0.0952,0.0714,0.0952,0.0181,0.0292,0.0125,0.0269
1,1,0.6667,0.5758,2.9091,402.4545,1476.6107,0.0234,1.0,3.0,440.0,146.6667,3.4545,153.328,0.5403,0.0985,0.4885,0.0958,0.4681,0.0423,2.75,6.8182,6.4932,12.2466,2.8421,1.2727,2.0,4.6471,6.1333,2.75,7.3636,5.2727,7.0862,13.9535,24.0,1.7854,2.6907,2.6951,55.2845,1.2466,1.9113,2.6411,146.6667,53.3333,0.0,0.0,13.3333,26.6667,66.6667,146.6667,320.0,133.3333,80.0,26.6667,573.3333,106.6667,0.0,93.3333,0.0,13.3333,0.0,40.0,13.3333,26.6667,0.0,80.0,80.0,186.0467,320.0,0.5733,0.32,0.1467,0.08,0.0267,0.0,0.84,1.0,1.0,1.0,1.0,1.0,0.88,0.7917,0.7273,0.8333,1.0,0.8381,0.2941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.5588,0.5147,6.3846,3.6154,926.6293,0.039,3.0,5.2308,373.6264,214.2857,4.6923,156.2732,0.6788,0.0964,0.6726,0.0814,0.6506,0.0043,4.3333,14.0,6.7557,5.7955,3.071,3.2308,2.7692,4.6562,6.96,2.1429,8.8333,10.0,7.8385,10.5691,22.7273,2.8674,5.4913,3.2635,2.4409,1.4449,3.2581,3.0225,71.4286,16.4835,0.0,0.0,87.9121,115.3846,49.4505,214.2857,351.6484,27.4725,65.9341,43.956,675.8242,148.3516,10.989,93.4066,27.4725,16.4835,0.0,10.989,10.989,49.4505,0.0,71.4286,54.9451,58.072,124.8753,0.6758,0.3516,0.2143,0.0659,0.044,16.4835,0.6758,0.7656,0.7179,1.0,1.0,0.8709,0.8187,0.5938,0.5897,1.0,1.0,0.7959,0.0725,0.1,0.2647,0.1667,0.2179,0.1667,0.2308,0.0156,0.0286,0.0224,0.038
