prop,num_punct_in_sentence,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
2,4,0.8342,0.6734,6.5152,1286.697,957.9789,0.0445,3.2121,6.0303,381.2261,203.0651,5.4242,131.4771,0.6624,0.1112,0.6476,0.1073,0.6584,0.0386,3.3,15.8182,6.8858,5.8755,3.0688,3.6667,3.0,5.8658,6.6889,2.5385,8.375,11.2121,7.9081,5.0,11.6505,1.8466,7.3586,2.7908,2.1835,1.3173,6.084,2.4422,63.2184,19.1571,0.0,0.0,28.7356,95.7854,53.6398,203.0651,321.8391,72.7969,122.6054,42.1456,689.6552,176.2452,3.8314,139.8467,15.3257,17.2414,0.0,9.5785,3.8314,17.2414,3.8314,34.4828,22.9885,9.5785,22.319,0.6897,0.3218,0.2031,0.1226,0.0421,5.7471,0.5402,0.5774,0.6698,0.7344,0.8182,0.6999,0.6207,0.4405,0.3868,0.4844,0.7727,0.5211,0.1845,0.5652,0.4364,0.5,0.3106,0.5,0.3106,0.0328,0.0357,0.022,0.0372
3,3,1.0,0.75,4.7273,164.3636,1407.2673,0.0314,2.9091,6.1818,359.7884,169.3122,5.4545,200.0376,0.7185,0.0643,0.7192,0.0664,0.7151,0.0321,2.2,17.1818,7.3548,6.2688,3.3316,3.6364,2.7273,6.3333,6.2222,3.2222,6.9722,12.2727,8.7111,3.2787,11.1111,0.7483,6.5895,3.4177,2.6116,1.6449,5.0469,2.931,58.2011,26.455,0.0,0.0,42.328,89.9471,47.619,169.3122,322.7513,37.037,137.5661,15.873,645.5026,179.8942,10.582,137.5661,31.746,0.0,0.0,10.582,0.0,10.582,0.0,21.164,21.164,17.3476,58.7889,0.6455,0.3228,0.1693,0.1376,0.0159,10.582,0.7196,0.8197,0.9375,0.7308,1.0,0.872,0.8148,0.7541,0.7188,0.5385,1.0,0.7529,0.1029,0.5,0.375,0.4,0.2364,0.4,0.2364,0.0253,0.0341,0.0234,0.0367
2,3,0.8058,0.7266,4.7812,2022.125,891.0824,0.0473,2.125,4.3438,338.1995,165.4501,4.4375,95.0873,0.6254,0.1109,0.582,0.1247,0.5982,0.036,4.5714,12.8438,6.2365,5.4807,2.6626,2.4375,2.5,5.9059,5.7821,2.0714,7.86,8.25,7.2917,4.5045,11.5942,2.3819,6.996,2.6628,2.1314,1.2829,4.9687,2.436,77.8589,17.0316,0.0,0.0,29.1971,58.3942,31.6302,165.4501,260.3406,97.3236,63.2603,51.0949,540.146,158.1509,12.1655,116.7883,24.3309,4.8662,0.0,2.4331,9.7324,7.2993,4.8662,24.3309,19.4647,10.9599,28.2097,0.5401,0.2603,0.1655,0.0633,0.0511,24.3309,0.5474,0.6262,0.75,0.8077,0.8095,0.7483,0.6034,0.4579,0.4853,0.6538,0.7143,0.5778,0.2721,0.36,0.2338,0.3548,0.1653,0.3548,0.1653,0.0377,0.0592,0.0162,0.038
6,2,0.8056,0.6528,7.9524,420.1429,1036.9309,0.0343,3.7143,6.8571,387.0968,209.6774,6.1905,221.54,0.6872,0.1296,0.673,0.1149,0.7002,0.0594,3.0,17.7143,6.8994,5.9636,3.0134,4.2381,3.0476,6.3553,5.5775,1.9583,7.4255,12.7619,7.903,5.4622,18.4615,1.5119,6.3856,3.0252,2.194,1.3529,4.76,2.7586,56.4516,18.8172,0.0,0.0,64.5161,123.6559,29.5699,206.9892,352.1505,56.4516,34.9462,45.6989,639.7849,104.8387,5.3763,94.086,0.0,5.3763,0.0,16.129,2.6882,16.129,0.0,34.9462,32.2581,14.6833,49.6277,0.6398,0.3522,0.207,0.0349,0.0457,2.6882,0.6398,0.7252,0.7792,1.0,0.6471,0.7879,0.6882,0.5649,0.5065,0.9231,0.6471,0.6604,0.1382,0.5714,0.3793,0.55,0.2381,0.55,0.2381,0.0439,0.0475,0.0217,0.0345
2,2,0.9189,0.7703,6.4615,339.6154,1619.3447,0.0236,2.8462,5.6923,402.1739,201.087,5.2308,267.912,0.6768,0.0842,0.6556,0.087,0.6547,0.0386,3.25,14.1538,6.8239,5.8182,3.0489,2.9231,3.3846,4.7442,7.325,1.25,8.0,10.5385,7.5985,6.2016,14.2857,1.7854,6.9487,2.8017,1.9572,1.4532,5.5138,2.5757,70.6522,21.7391,0.0,0.0,54.3478,86.9565,54.3478,201.087,375.0,27.1739,108.6957,16.3043,701.087,114.1304,10.8696,59.7826,27.1739,16.3043,0.0,0.0,0.0,38.0435,5.4348,43.4783,32.6087,33.7043,77.6397,0.7011,0.375,0.2011,0.1087,0.0163,0.0,0.7772,0.7681,0.8919,1.0,1.0,0.915,0.8424,0.6377,0.6216,0.9,1.0,0.7898,0.0676,0.2222,0.1429,0.25,0.2564,0.25,0.2564,0.0137,0.025,0.0152,0.0261
