adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0377,0.7778,0.0795,0.7895,26.0,108.7866,59.0,246.8619,0.1579,0.1474,8.0,33.4728,0.0,0.0,0.0216,0.0351,0.0157,0.0328,0.7652,990.9991,5.44,7.1562,2.3889,16.7364,5.6,0.3333,0.7895,0.5289,0.5846,0.6778,0.4082,7.5885,31.6288,0.5941,24.0,100.4184,0.0427,4.6,18.0328,75.451,4.0,2.6,11.9718,50.0912,2.45,181.65,129.4675,4.1841,0.272,0.2,0.3061,334.728,0.7385,9.0,37.6569,19.0,79.4979,0.7,11.0,46.0251,150,0.0,0.0,17.0,71.1297,4.0,142.0,594.1423,0.625,1.0,65.0,271.9665,5,20.9205,2.0,8.3682,12.0,50.2092,2,2.45,2.0,8.3682,0.0,0.0,2.0,8.3682,13.0,54.3933,17.0,71.1297,20.0,83.682,19.0,79.4979,2.7042,1.118,52.0,49.0,205.0209,239.0,288.0,6.2034,1,0.1558,11.95,7.3,3.4799,4.7799,4.0,2.7568,0.6148,0.5689,0.0634,0.0953,0.5877,0.1182,0.6276,0.1579,0.1474,1.0,4.1841,0.205,205.0209,0.7551,6.0973,7.1849,2.3986,2.5572
0.0698,0.9118,0.0308,0.8667,9.0,18.4805,73.0,149.8973,0.122,0.0348,4.0,8.2136,0.0,0.0,0.0156,0.0349,0.0068,0.0245,0.8329,1602.1807,5.3525,7.3571,2.6538,24.6407,4.0238,0.7353,0.8667,0.7215,0.68,0.7043,0.6042,5.9093,2.4672,0.6057,58.0,119.0965,0.0316,4.4762,11.4035,23.4158,4.2381,2.7381,5.4237,11.137,2.2857,1783.2857,289.9628,12.3203,0.308,0.1111,0.0758,365.5031,0.8133,34.0,69.8152,15.0,30.8008,0.7753,13.0,26.694,310,0.0,0.0,17.0,34.9076,12.0,295.0,605.7495,0.6742,6.0,150.0,308.0082,15,30.8008,0.0,0.0,31.0,63.655,1,2.9286,2.0,4.1068,0.0,0.0,7.0,14.3737,7.0,14.3737,16.0,32.8542,42.0,86.2423,34.0,69.8152,2.8975,1.5033,115.0,96.0,197.1253,487.0,610.0,7.2734,1,0.1713,11.5952,7.7143,5.1975,8.4658,2.8,1.9391,0.573,0.5743,0.1241,0.1707,0.4841,0.1661,0.6366,0.122,0.0348,2.0,4.1068,0.1971,197.1253,0.7396,6.6372,7.6914,3.019,3.1533
0.0738,1.0,0.041,1.0,2.0,16.3934,25.0,204.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3442.4937,6.3438,8.2,3.25,0.0,4.5,0.8889,1.0,0.9107,0.9762,0.8607,0.7778,5.839,2.3068,0.6066,23.0,188.5246,0.0228,4.4,6.8182,55.8869,5.5,3.4,4.0541,33.2303,1.8,1653.9,204.974,0.0,0.3443,0.0,0.0,450.8197,1.0,9.0,73.7705,5.0,40.9836,0.5091,3.0,24.5902,99,0.0,0.0,4.0,32.7869,0.0,74.0,606.5574,0.4909,0.0,42.0,344.2623,6,49.1803,0.0,0.0,13.0,106.5574,2,3.0,1.0,8.1967,0.0,0.0,1.0,8.1967,1.0,8.1967,3.0,24.5902,10.0,81.9672,4.0,32.7869,2.878,1.2597,34.0,18.0,147.541,122.0,152.0,6.8529,4,0.2364,12.2,8.6,4.005,5.6356,1.6667,0.7454,0.5592,0.5114,0.1408,0.1356,0.504,0.1404,0.8115,0.0,0.0,0.0,0.0,0.1475,147.541,1.0,6.4153,7.407,2.549,2.7719
0.1012,0.64,0.0445,0.9091,6.0,24.2915,45.0,182.1862,0.2632,0.1895,3.0,12.1457,0.0,0.0,0.0353,0.0505,0.0191,0.0364,0.7579,933.1518,7.7073,8.6,2.5,72.8745,5.05,0.52,0.8182,0.5829,0.4824,0.6559,0.5111,5.5816,2.2944,0.6721,29.0,117.4089,0.0415,4.8,23.913,96.8138,4.35,2.65,10.8434,43.9004,2.25,1260.95,141.2235,4.0486,0.3441,0.25,0.1724,352.2267,0.6824,25.0,101.2146,11.0,44.5344,0.7586,11.0,44.5344,156,0.0,0.0,17.0,68.8259,18.0,166.0,672.0648,0.6897,1.0,85.0,344.1296,8,32.3887,0.0,0.0,2.0,8.0972,5,3.1,0.0,0.0,1.0,4.0486,6.0,24.2915,11.0,44.5344,18.0,72.8745,20.0,80.9717,17.0,68.8259,3.0,1.2378,53.0,45.0,182.1862,247.0,309.0,5.8,5,0.023,12.35,8.4,4.3977,6.4906,2.5,1.8708,0.6491,0.6562,0.0933,0.1241,0.6354,0.1199,0.6316,0.2632,0.1947,7.0,28.3401,0.1822,182.1862,0.8,6.6946,7.6905,2.5447,2.8022
0.0451,1.0,0.0301,1.0,3.0,22.5564,14.0,105.2632,0.1667,0.1538,0.0,0.0,0.0,0.0,0.0457,0.0863,0.0256,0.0556,0.8721,1314.1332,7.6667,9.0,5.0,60.1504,4.7692,1.0,1.0,0.8209,0.7234,0.8647,0.56,5.1797,1.9463,0.6165,8.0,60.1504,0.0322,4.3077,16.6667,125.3135,4.3077,2.2308,14.6341,110.0308,1.9231,4323.0,125.939,0.0,0.3534,0.1429,0.1111,421.0526,0.8085,6.0,45.1128,4.0,30.0752,0.8036,5.0,37.594,99,0.0,0.0,8.0,60.1504,8.0,82.0,616.5414,0.6786,0.0,47.0,353.3835,6,45.1128,0.0,0.0,13.0,97.7444,3,2.3846,1.0,7.5188,0.0,0.0,7.0,52.6316,4.0,30.0752,12.0,90.2256,13.0,97.7444,11.0,82.7068,2.6045,1.24,29.0,25.0,187.9699,133.0,164.0,5.3158,2,0.2167,10.2308,7.6923,4.392,5.7933,2.1667,0.6872,0.574,0.5829,0.0474,0.1327,0.5638,0.1322,0.7444,0.1667,0.1538,3.0,22.5564,0.188,187.9699,0.68,6.0391,6.73,2.7087,2.7878
