num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_proper_noun,num_verb,num_subord,num_lexic_words,num_total_prop,num_rare_words,num_rare_advb,num_dif_rare_words,num_adv,num_noun,num_adj,num_indic,num_rare_nouns,num_rare_adj,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_inf,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,num_neg,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
4,5.0,1,1,102.0,121.0,9.0,21.0,13.0,61.0,22.0,3.0,1.0,3.0,4.0,30.0,6.0,1.0,1.0,1.0,0.8611,0.6389,87,13.4,35.0,2184.3527,0.0184,4.2,7.2,352.9412,205.8824,5.4,275.3164,1.0,2.0,0.0,8.0,0.0,11.0,1.25,20.4,7.7755,6.8367,3.4216,4.4,3.8,5.913,4.2381,1.4167,8.0,16.0,8.675,4.918,11.5385,0.433,15.7175,3.638,2.8986,1.6712,12.853,3.4124,49.0196,39.2157,0.0,0.0,0.0,0.0,0.0,0.0,127.451,9.8039,205.8824,294.1176,88.2353,58.8235,39.2157,598.0392,107.8431,9.8039,78.4314,0.0,19.6078,0.0,9.8039,9.8039,0.0,0.0,9.8039,29.4118,29.4118,48.2157,113.1225,0.598,0.2941,0.2059,0.0588,0.0392,0.0,0.0,0.8529,0.9333,0.9524,1.0,1.0,0.9714,0.8824,0.8,0.8095,1.0,1.0,0.9024,0.2308,1.0,1.0,0.5,0.2,0.5,0.4,0.0312,0.0241,0.018,0.0213
4,10.0,3,10,134.0,173.0,1.0,27.0,14.0,98.0,31.0,5.0,0.0,2.0,9.0,47.0,15.0,8.0,1.0,0.0,0.6304,0.5435,107,5.2,115.5,1138.0011,0.0237,2.7,4.6,343.2836,201.4925,4.9,175.9655,2.0,0.0,0.0,8.0,3.0,13.0,2.5,13.4,7.4667,6.3185,3.3358,3.1,3.9,4.4286,5.4167,3.3333,6.6667,10.4,8.3077,5.102,6.6667,1.118,7.1582,3.2244,2.7451,1.4192,5.2764,3.0793,74.6269,29.8507,0.0,0.0,0.0,0.0,4.0,29.8507,104.4776,59.7015,201.4925,350.7463,7.4627,111.9403,67.1642,731.3433,97.0149,14.9254,59.7015,22.3881,0.0,0.0,7.4627,0.0,4.0,29.8507,0.0,37.3134,14.9254,38.0746,49.7515,0.7313,0.3507,0.2015,0.1119,0.0672,1.0,7.4627,0.7985,0.7872,0.7778,0.9333,1.0,0.8746,0.8433,0.6596,0.6667,0.9333,1.0,0.8149,0.0208,0.1667,0.1,0.1111,0.2222,0.1111,0.2222,0.0123,0.0239,0.0221,0.0359
5,21.0,1,1,323.0,381.0,20.0,80.0,48.0,200.0,84.0,10.0,1.0,6.0,21.0,83.0,16.0,13.0,5.0,2.0,0.7245,0.5918,189,5.619,1524.1429,987.9985,0.0449,3.8095,4.6667,303.4056,247.678,5.1905,136.4372,3.0,7.0,0.0,27.0,10.0,47.0,4.2,15.381,6.6938,5.8567,2.9133,4.0,2.7619,5.8052,5.058,2.6774,7.0,10.4286,7.6667,5.0,10.5263,2.1354,8.068,3.1329,2.5432,1.2973,5.5427,3.125,65.0155,15.4799,0.0,0.0,0.0,0.0,7.0,21.6718,148.6068,40.2477,247.678,256.9659,61.9195,49.5356,65.0155,619.195,145.5108,9.2879,83.5913,30.9598,21.6718,0.0,15.4799,6.192,2.0,6.192,3.096,30.9598,18.5759,15.4799,32.5892,0.6192,0.257,0.2477,0.0495,0.065,3.0,9.2879,0.5851,0.5904,0.7375,0.875,0.7143,0.7293,0.6316,0.4578,0.4125,0.8125,0.7143,0.5993,0.1942,0.4375,0.2667,0.45,0.3429,0.45,0.3524,0.0497,0.0438,0.0316,0.0421
6,13.0,2,3,215.0,253.0,18.0,48.0,26.0,142.0,48.0,9.0,1.0,6.0,5.0,73.0,16.0,7.0,1.0,1.0,0.8352,0.6923,151,7.3846,2504.3846,1408.7928,0.0323,3.6923,7.0,423.2558,223.2558,5.6923,168.4443,4.0,2.0,0.0,24.0,0.0,30.0,2.1667,16.5385,7.1442,6.0962,3.186,3.6923,2.9231,5.3617,6.4762,2.5833,8.0333,12.6154,8.0671,6.338,13.6364,1.0672,7.0013,3.5367,2.8063,1.5709,5.6777,3.3734,60.4651,27.907,0.0,0.0,0.0,0.0,6.0,27.907,120.9302,32.5581,223.2558,339.5349,83.7209,74.4186,23.2558,660.4651,139.5349,18.6047,111.6279,0.0,9.3023,0.0,4.6512,4.6512,6.0,27.907,4.6512,41.8605,27.907,29.4791,63.4251,0.6605,0.3395,0.2233,0.0744,0.0233,1.0,4.6512,0.7023,0.7671,0.8125,0.8125,1.0,0.848,0.786,0.6438,0.5833,0.75,1.0,0.7443,0.1978,0.1429,0.1818,0.25,0.2564,0.25,0.2564,0.0314,0.0683,0.0192,0.0385
8,19.0,1,1,351.0,440.0,24.0,76.0,34.0,230.0,72.0,9.0,0.0,5.0,20.0,113.0,21.0,11.0,3.0,0.0,0.6716,0.5448,243,6.1053,53456.5789,1405.7037,0.0281,4.0,7.0526,381.7664,216.5242,4.8947,340.9848,14.0,6.0,0.0,34.0,4.0,58.0,2.375,18.4737,6.6577,7.0446,2.9715,3.7895,4.6842,5.9118,5.6167,1.7778,7.2619,13.4737,7.5039,3.913,6.5789,0.857,11.3154,2.8408,25.9886,1.35,8.4191,2.6398,54.1311,22.792,0.0,0.0,0.0,0.0,14.0,39.886,96.8661,31.339,216.5242,321.9373,68.3761,59.8291,56.9801,655.2707,165.2422,39.886,96.8661,11.396,17.094,0.0,8.547,0.0,6.0,17.094,0.0,25.641,14.245,11.1481,18.7433,0.6553,0.3219,0.2165,0.0598,0.057,1.0,2.849,0.6923,0.7257,0.8553,1.0,0.8,0.8453,0.7179,0.5575,0.5132,0.8571,0.8,0.682,0.1752,0.0909,0.0625,0.2778,0.269,0.2778,0.2807,0.019,0.0356,0.0166,0.0277
