num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_proper_noun,num_noun,num_lexic_words,num_verb,num_subord,num_total_prop,num_adj,num_inf,num_rare_words,num_rare_adj,num_dif_rare_words,num_indic,num_rare_nouns,num_neg,num_rare_verbs,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
6,12.0,4,5,176.0,220.0,8.0,69.0,117.0,37.0,19.0,41.0,11.0,8.0,7.0,1.0,5.0,11.0,2.0,1.0,4.0,0.64,0.52,137,4.9167,552.25,1619.1328,0.0238,3.0833,6.25,426.1364,210.2273,5.1667,235.2072,2.0,1.0,0.0,19.0,4.0,26.0,2.0,14.6667,7.3815,6.0581,3.2784,3.4167,3.6667,7.7143,5.2593,2.4545,7.1875,10.75,8.5349,5.9829,16.129,0.8165,7.9512,3.4914,2.5374,1.5655,6.2333,3.1746,68.1818,34.0909,0.0,0.0,0.0,0.0,45.4545,107.9545,62.5,210.2273,392.0455,45.4545,62.5,0.0,0.0,664.7727,147.7273,11.3636,107.9545,22.7273,5.6818,0.0,11.3636,5.6818,22.7273,0.0,0.0,39.7727,28.4091,33.9937,91.642,0.6648,0.392,0.2102,0.0625,0.0,5.6818,0.7784,0.8841,0.8108,1.0,0.0,0.6737,0.8693,0.6522,0.5405,1.0,0.0,0.5482,0.1039,0.0,0.0,0.1818,0.1364,0.1818,0.1364,0.0101,0.0228,0.0124,0.025
8,20.0,4,3,300.0,364.0,14.0,105.0,200.0,68.0,32.0,73.0,14.0,20.0,20.0,1.0,13.0,14.0,11.0,3.0,8.0,0.5391,0.4783,205,4.95,64.3,1336.3417,0.0309,3.4,5.75,383.3333,226.6667,5.3,199.6614,3.0,6.0,0.0,33.0,4.0,46.0,2.5,15.0,6.3993,5.5563,2.9133,3.65,3.2,5.6406,5.6786,1.8333,7.5,10.55,7.4739,10.0,20.0,1.118,6.7231,2.8966,2.2492,1.4068,4.5219,2.5856,66.6667,26.6667,0.0,0.0,0.0,0.0,66.6667,106.6667,46.6667,226.6667,350.0,46.6667,46.6667,13.0,43.3333,666.6667,153.3333,10.0,110.0,13.3333,20.0,0.0,36.6667,3.3333,26.6667,0.0,0.0,66.6667,43.3333,33.3333,66.6667,0.6667,0.35,0.2267,0.0467,0.0433,10.0,0.6833,0.7524,0.8088,1.0,1.0,0.8903,0.7033,0.6571,0.5441,0.9286,1.0,0.7824,0.1176,0.3333,0.25,0.3158,0.1632,0.3158,0.1737,0.0296,0.0368,0.0153,0.0285
6,9.0,1,3,167.0,198.0,12.0,59.0,113.0,32.0,19.0,36.0,13.0,9.0,6.0,4.0,6.0,5.0,0.0,3.0,2.0,0.7941,0.6324,125,6.0,585.5556,1207.9981,0.0286,3.5556,7.5556,407.1856,191.6168,6.0,202.3,2.0,3.0,0.0,13.0,5.0,23.0,1.5,18.5556,7.2795,6.1242,3.2455,4.0,3.4444,5.2105,6.7097,2.9,8.5238,14.3333,7.9845,5.3097,13.6364,0.5,8.1256,2.8638,2.2284,1.3645,6.2361,2.6029,53.8922,35.9281,0.0,0.0,0.0,0.0,53.8922,113.7725,29.9401,191.6168,353.2934,71.8563,77.8443,9.0,53.8922,676.6467,137.7246,11.976,77.8443,29.9401,17.9641,0.0,0.0,23.9521,11.976,0.0,0.0,35.9281,35.9281,31.7946,81.6551,0.6766,0.3533,0.1916,0.0778,0.0539,17.9641,0.7485,0.8136,0.8438,0.9231,0.7778,0.8396,0.7844,0.678,0.5625,0.7692,0.7778,0.6969,0.169,0.3333,0.3333,0.5,0.3889,0.5,0.3889,0.0273,0.0248,0.0244,0.0285
4,7.0,1,1,65.0,73.0,14.0,20.0,39.0,14.0,5.0,14.0,4.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.6129,0.5161,56,2.4286,317.2857,2030.463,0.0212,2.0,4.4286,476.9231,215.3846,4.4286,129.1016,0.0,0.0,0.0,4.0,0.0,4.0,1.75,9.2857,7.0645,6.1452,2.9692,2.0,1.1429,9.4706,4.625,2.0,7.25,7.4286,7.8269,5.1282,12.5,1.299,4.463,3.3209,2.5006,1.5389,3.2008,3.0554,107.6923,61.5385,0.0,0.0,0.0,0.0,0.0,76.9231,46.1538,215.3846,307.6923,215.3846,61.5385,1.0,15.3846,600.0,61.5385,0.0,61.5385,0.0,0.0,0.0,15.3846,0.0,15.3846,0.0,0.0,30.7692,30.7692,78.8954,192.3077,0.6,0.3077,0.2154,0.0615,0.0154,0.0,0.8615,1.0,0.9286,1.0,1.0,0.9821,0.8923,0.95,0.7857,1.0,1.0,0.9339,0.4118,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0373,0.0048,0.0213
4,7.0,4,4,117.0,139.0,3.0,44.0,87.0,27.0,16.0,25.0,11.0,5.0,3.0,0.0,3.0,7.0,2.0,1.0,1.0,1.2609,0.8696,92,5.1429,942.5714,1359.0936,0.0271,3.8571,6.5714,393.1624,230.7692,5.5714,180.2309,1.0,1.0,0.0,2.0,2.0,6.0,1.75,16.7143,7.4054,6.4054,3.265,3.5714,3.1429,5.3226,4.8214,1.75,7.125,12.8571,8.1778,3.4483,11.1111,0.8292,10.236,3.1117,2.5018,1.4582,9.4329,2.9005,59.8291,34.188,0.0,0.0,0.0,0.0,42.735,136.7521,59.8291,230.7692,376.0684,25.641,94.0171,5.0,42.735,743.5897,51.2821,8.547,17.094,17.094,8.547,0.0,17.094,0.0,8.547,0.0,0.0,25.641,25.641,29.4726,94.9667,0.7436,0.3761,0.2308,0.094,0.0427,8.547,0.7863,0.7955,0.8889,0.9091,0.8,0.8484,0.7949,0.6136,0.6296,0.8182,0.8,0.7153,0.0638,0.6667,0.5,0.5,0.3333,0.5,0.3333,0.0251,0.0197,0.0294,0.0334
