prop,num_punct_in_sentence,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
2,1,0.5517,0.4828,4.4167,822.1667,1626.1283,0.0311,1.6667,2.4167,305.2632,210.5263,3.3333,117.2945,0.4385,0.207,0.3894,0.2282,0.3543,0.2032,2.0,7.9167,6.1771,5.1042,2.8646,2.25,1.8333,9.0435,5.6957,2.8889,7.5,5.4167,7.3538,6.6667,16.0,0.8165,4.9406,2.6692,2.0232,1.1422,3.5463,2.3627,126.3158,63.1579,0.0,0.0,84.2105,42.1053,31.5789,210.5263,294.7368,10.5263,94.7368,31.5789,631.5789,315.7895,0.0,231.5789,73.6842,10.5263,0.0,0.0,21.0526,21.0526,0.0,42.1053,42.1053,70.1758,168.4211,0.6316,0.2947,0.2105,0.0947,0.0316,21.0526,0.7789,0.9643,0.95,1.0,1.0,0.9786,0.8105,0.7857,0.9,1.0,0.6667,0.8381,0.0345,0.0,0.0,0.0,0.0152,0.0,0.0152,0.0065,0.0205,0.0022,0.0127
1,8,0.9592,0.6122,4.8,5275.2,1055.4385,0.0397,2.0667,3.2667,304.3478,192.5466,3.9333,170.8912,0.5195,0.1684,0.4877,0.1613,0.4558,0.1404,2.1429,10.7333,5.8523,5.302,2.5864,2.4,2.6667,6.1667,6.5111,2.0714,8.5161,6.6,6.7273,10.2041,12.766,1.2454,6.648,2.3584,1.8743,1.1474,4.2237,2.1594,93.1677,43.4783,0.0,6.2112,18.6335,62.1118,55.9006,192.5466,285.7143,12.4224,49.6894,80.7453,608.6957,167.7019,12.4224,105.5901,24.8447,24.8447,0.0,37.2671,0.0,24.8447,0.0,62.1118,37.2671,63.3795,79.2919,0.6087,0.2857,0.1925,0.0497,0.0807,12.4224,0.6832,0.7174,0.871,0.875,0.9231,0.8466,0.6708,0.6739,0.7097,0.875,0.9231,0.7954,0.0417,0.25,0.1429,0.2143,0.0762,0.2143,0.0857,0.023,0.0479,0.0113,0.0336
1,1,0.6667,0.5278,3.1,2854.1,1628.5683,0.0167,2.2,3.6,349.5146,213.5922,4.0,220.5,0.4813,0.2812,0.3713,0.2725,0.4817,0.2806,1.4286,10.3,6.6117,5.3883,2.9038,2.4,2.4,5.75,5.2143,1.5,6.7,7.4,7.5405,11.1111,27.2727,0.4949,7.5372,2.71,2.1417,1.2288,4.6733,2.5051,97.0874,67.9612,0.0,0.0,87.3786,97.0874,58.2524,213.5922,300.9709,48.5437,29.1262,67.9612,611.6505,135.9223,9.7087,67.9612,48.5437,9.7087,0.0,38.835,0.0,29.1262,0.0,67.9612,58.2524,107.8748,264.7835,0.6117,0.301,0.2136,0.0291,0.068,29.1262,0.8641,0.9032,0.9545,1.0,1.0,0.9644,0.8058,0.7097,0.5455,1.0,1.0,0.8138,0.1389,0.0,0.0,0.1111,0.0444,0.1111,0.0444,0.0171,0.0332,0.0043,0.0173
1,1,0.5882,0.5294,4.5455,10396.8182,942.4301,0.0353,2.7273,4.6364,364.2857,214.2857,4.0,148.3243,0.646,0.179,0.5801,0.189,0.6111,0.1995,1.8333,12.7273,6.8832,5.6204,3.0922,3.1818,3.1818,4.92,8.381,1.5,9.1053,9.4545,7.7212,4.2105,19.0476,1.0672,10.5235,2.6802,1.9674,1.2256,7.9242,2.4395,78.5714,42.8571,0.0,0.0,71.4286,121.4286,42.8571,214.2857,342.8571,21.4286,100.0,21.4286,678.5714,164.2857,35.7143,78.5714,35.7143,14.2857,0.0,7.1429,7.1429,14.2857,0.0,28.5714,28.5714,30.075,136.0543,0.6786,0.3429,0.2143,0.1,0.0214,21.4286,0.7214,0.7292,0.7667,0.7857,1.0,0.8204,0.7571,0.5417,0.5333,0.6429,1.0,0.6795,0.0588,0.2,0.125,0.3,0.2182,0.3,0.2182,0.0368,0.0421,0.0244,0.0422
2,2,0.4545,0.4242,5.5714,1.0,1878.8374,0.0274,3.0,4.7143,347.3684,221.0526,4.4286,157.9375,0.629,0.1471,0.6446,0.1125,0.5635,0.179,1.75,13.5714,6.4783,5.3913,2.7917,3.0,3.7143,7.6923,6.4545,2.5,8.7143,10.2857,7.0694,7.8125,23.8095,1.299,8.466,2.2041,1.8175,0.9119,6.5621,2.0092,73.6842,42.1053,0.0,0.0,84.2105,84.2105,63.1579,221.0526,326.3158,21.0526,52.6316,73.6842,673.6842,168.4211,10.5263,73.6842,42.1053,42.1053,0.0,31.5789,0.0,21.0526,0.0,52.6316,52.6316,82.2368,250.6263,0.6737,0.3263,0.2211,0.0526,0.0737,0.0,0.8,0.7742,0.9524,1.0,1.0,0.9316,0.9263,0.6774,0.619,1.0,1.0,0.8241,0.0606,1.0,0.6667,0.5,0.5238,0.5,0.5238,0.0344,0.0378,0.0508,0.063
