prop,num_punct_in_sentence,num_total_prop,num_subord,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
3,4,31.0,16.0,0.5532,0.5106,4.875,2206.75,790.4352,0.0468,3.375,5.875,415.9292,238.9381,4.625,114.1665,0.5713,0.1775,0.5598,0.1893,0.5497,0.2125,2.0,14.125,6.0943,5.2453,2.6726,3.875,2.25,5.0625,6.4194,2.1429,7.6667,10.0,6.6625,10.9756,18.1818,0.7071,10.3735,2.1567,1.7688,0.9163,7.6811,1.9618,70.7965,35.3982,0.0,0.0,53.0973,141.5929,61.9469,238.9381,398.2301,17.6991,53.0973,35.3982,725.6637,132.7434,17.6991,106.1947,8.8496,0.0,0.0,26.5487,17.6991,35.3982,0.0,79.646,53.0973,97.1292,160.9009,0.7257,0.3982,0.2389,0.0531,0.0354,26.5487,0.6814,0.7778,0.7778,0.6667,1.0,0.8056,0.7434,0.6667,0.6296,0.6667,1.0,0.7408,0.0426,0.5,0.4,0.2857,0.2857,0.2857,0.2857,0.0282,0.0473,0.0329,0.0577
5,4,33.0,12.0,0.7429,0.7143,4.7778,333.7778,1532.3573,0.0305,3.4444,3.8889,280.0,248.0,4.5556,190.2174,0.6805,0.0921,0.6438,0.1101,0.6376,0.0875,1.8,13.8889,6.7094,5.6838,2.928,3.6667,3.4444,6.1786,8.9259,4.5714,10.45,9.1111,7.9146,14.4578,31.25,0.7483,5.6064,2.7921,1.9899,1.3751,4.3319,2.2208,72.0,40.0,0.0,0.0,32.0,96.0,80.0,248.0,280.0,0.0,112.0,24.0,664.0,120.0,0.0,88.0,24.0,8.0,0.0,16.0,8.0,72.0,0.0,96.0,80.0,115.6624,250.0,0.664,0.28,0.248,0.112,0.024,32.0,0.76,0.7714,0.871,1.0,1.0,0.9106,0.8,0.7143,0.7097,0.7143,1.0,0.7846,,0.0,0.0,0.25,0.25,0.25,0.25,0.0292,0.0383,0.022,0.0336
6,4,62.0,23.0,0.7706,0.5963,5.3077,264.2692,1158.0066,0.0295,2.3077,4.1923,359.736,198.0198,4.3846,296.471,,,,,,,2.0,11.6538,5.9931,5.0412,2.7327,2.3846,2.9615,6.125,5.7759,2.6667,7.5405,8.1154,6.7156,6.1856,14.7059,1.1094,4.8273,2.4523,1.7621,1.1652,3.355,2.3778,85.8086,42.9043,0.0,0.0,42.9043,75.9076,56.1056,198.0198,330.033,29.703,46.2046,66.0066,640.264,135.3135,29.703,59.4059,33.0033,13.2013,0.0,9.901,0.0,29.703,0.0,39.604,33.0033,20.4145,48.5343,0.6403,0.33,0.198,0.0462,0.066,16.5017,0.6931,0.73,0.8167,0.8571,1.0,0.8509,0.6799,0.54,0.5167,0.7857,1.0,0.7106,0.0826,0.3846,0.381,0.28,0.0769,0.28,0.0769,0.0254,0.0402,0.0091,0.0303
3,1,26.0,9.0,0.7059,0.5882,4.5,712.4167,955.7332,0.0322,2.0833,4.25,383.4586,187.9699,4.1667,162.624,0.6118,0.0923,0.5936,0.0864,0.6125,0.0526,2.0,11.0833,6.9531,5.7969,3.1353,2.1667,2.1667,4.4375,6.75,2.4,7.6957,7.9167,7.8737,7.7778,14.2857,0.5774,5.2987,3.01,2.272,1.5646,2.6601,2.8219,90.2256,45.1128,0.0,0.0,52.6316,67.6692,67.6692,187.9699,345.8647,37.594,60.1504,82.7068,676.6917,127.8195,15.0376,67.6692,15.0376,30.0752,0.0,7.5188,0.0,22.5564,22.5564,52.6316,37.594,58.4797,107.4113,0.6767,0.3459,0.188,0.0602,0.0827,7.5188,0.7444,0.7826,0.88,0.875,0.8182,0.8389,0.8271,0.6087,0.6,0.875,0.8182,0.7255,0.098,0.0,0.0,0.1818,0.1364,0.1818,0.1364,0.0196,0.0417,0.0177,0.0423
1,6,27.0,10.0,1.3214,0.875,3.5833,34.25,890.4836,0.0367,2.0833,4.6667,386.2069,172.4138,4.8333,168.2,0.6457,0.09,0.58,0.1084,0.6398,0.0869,2.4,12.0833,6.8529,5.6838,3.0276,2.25,2.4167,6.5152,5.931,2.4545,8.0556,8.8333,7.6132,7.2165,19.4444,1.4967,4.462,2.8142,2.2839,1.2591,3.8694,2.6478,82.7586,34.4828,0.0,0.0,13.7931,68.9655,41.3793,172.4138,344.8276,48.2759,96.5517,55.1724,668.9655,110.3448,6.8966,68.9655,6.8966,27.5862,0.0,13.7931,13.7931,13.7931,6.8966,48.2759,48.2759,49.769,134.0993,0.669,0.3448,0.1724,0.0966,0.0552,0.0,0.7103,0.8,0.76,0.8571,0.875,0.823,0.7241,0.66,0.52,0.6429,0.875,0.6745,0.1228,0.1429,0.1429,0.2727,0.1212,0.2727,0.1212,0.0435,0.0645,0.0192,0.0459
