num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_noun,num_lexic_words,num_total_prop,num_rare_words,num_rare_advb,num_dif_rare_words,num_adv,num_proper_noun,num_verb,num_subord,num_rare_verbs,num_indic,num_inf,num_adj,num_neg,num_rare_adj,num_rare_nouns,num_personal_pronouns,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
4,11.0,4,4,131.0,159.0,47.0,85.0,31.0,8.0,1.0,6.0,12.0,2.0,21.0,9.0,5.0,6.0,5.0,5.0,2.0,1.0,1.0,1.0,0.46,0.44,93,7.4545,798.0,895.0283,0.0384,1.9091,4.5455,381.6794,160.3053,4.5455,121.7162,2.0,4.0,0.0,21.0,4.0,31.0,2.75,11.9091,6.3594,5.1953,2.8321,2.8182,2.5455,6.3871,6.2609,2.25,7.1053,7.4545,7.6585,9.4118,19.3548,1.479,5.5833,2.8824,1.9001,1.3085,4.0534,2.619,83.9695,30.5344,0.0,0.0,7.6336,38.1679,68.7023,45.8015,160.3053,358.7786,15.2672,38.1679,91.6031,648.855,236.6412,15.2672,160.3053,30.5344,30.5344,0.0,7.6336,7.6336,38.1679,7.6336,61.0687,45.8015,71.8458,147.7466,0.6489,0.3588,0.1603,0.0382,0.0916,15.2672,0.7099,0.8298,0.8095,0.8,0.8333,0.8182,0.7557,0.7021,0.619,0.8,0.8333,0.7386,0.0408,0.0,0.0,0.2,0.1273,0.3,0.1455,0.0297,0.0392,0.0191,0.0349
6,10.0,4,4,108.0,137.0,36.0,73.0,23.0,2.0,0.0,2.0,6.0,0.0,22.0,9.0,1.0,5.0,7.0,9.0,1.0,0.0,1.0,0.0,0.6389,0.5833,89,5.4,6857.5,1809.7471,0.0221,2.2,3.6,333.3333,203.7037,4.0,217.728,5.0,0.0,0.0,10.0,1.0,16.0,1.6667,10.8,6.233,5.3398,2.787,2.3,2.9,5.88,5.95,2.6,7.0667,7.4,7.2162,2.7397,7.4074,0.4714,5.8275,2.6299,2.0835,1.1308,4.128,2.3782,92.5926,55.5556,0.0,0.0,0.0,64.8148,83.3333,46.2963,203.7037,333.3333,0.0,83.3333,55.5556,675.9259,148.1481,46.2963,92.5926,9.2593,0.0,0.0,9.2593,0.0,9.2593,0.0,18.5185,18.5185,25.3676,68.587,0.6759,0.3333,0.2037,0.0833,0.0556,9.2593,0.8241,0.9167,0.8636,1.0,1.0,0.9451,0.8519,0.7778,0.5909,0.8889,1.0,0.8144,,0.25,0.25,0.1111,0.0444,0.1111,0.0444,0.0127,0.0242,0.0059,0.017
5,14.0,1,2,152.0,189.0,41.0,88.0,32.0,16.0,0.0,9.0,5.0,0.0,24.0,5.0,10.0,12.0,5.0,18.0,2.0,2.0,4.0,0.0,0.878,0.8537,92,4.2857,258.7143,772.037,0.0565,1.7143,2.9286,269.7368,157.8947,4.0,74.5508,4.0,0.0,0.0,14.0,5.0,23.0,2.8,10.8571,6.2695,5.5532,2.8421,2.2857,2.6429,5.0714,6.9583,2.0,7.4091,6.9286,7.1546,18.1818,32.1429,1.6,5.8292,2.1401,1.6218,1.1816,3.5145,1.7311,92.1053,32.8947,0.0,0.0,0.0,32.8947,32.8947,78.9474,157.8947,269.7368,0.0,118.4211,32.8947,578.9474,151.3158,26.3158,92.1053,32.8947,0.0,0.0,26.3158,13.1579,65.7895,0.0,105.2632,59.2105,119.6171,211.4664,0.5789,0.2697,0.1579,0.1184,0.0329,13.1579,0.6053,0.6341,0.75,0.6667,1.0,0.7627,0.6053,0.4634,0.375,0.4444,1.0,0.5707,,0.5556,0.4737,0.6154,0.4396,0.6154,0.4396,0.0789,0.0615,0.0501,0.0601
5,19.0,4,3,199.0,243.0,60.0,135.0,40.0,16.0,0.0,9.0,13.0,6.0,42.0,17.0,12.0,19.0,9.0,20.0,4.0,1.0,3.0,0.0,0.7576,0.6667,147,4.1579,333.5789,1351.7256,0.028,2.2105,3.4737,331.6583,211.0553,4.2632,233.5557,11.0,1.0,0.0,11.0,7.0,30.0,3.8,10.4737,6.0053,5.0798,2.6583,2.1053,2.3158,4.5556,6.2,1.0,7.24,7.0526,6.8881,11.8519,20.0,3.0594,5.0196,2.6586,1.9513,1.2656,3.3162,2.4757,95.4774,25.1256,0.0,0.0,0.0,45.2261,85.4271,95.4774,211.0553,301.5075,30.1508,100.5025,65.3266,678.392,150.7538,55.2764,55.2764,35.1759,5.0251,0.0,15.0754,5.0251,60.3015,0.0,80.402,45.2261,59.5573,100.5025,0.6784,0.3015,0.2111,0.1005,0.0653,20.1005,0.7387,0.85,0.7857,0.95,0.9231,0.8772,0.7286,0.8,0.4524,0.85,0.9231,0.7564,0.0909,0.1429,0.14,0.1111,0.0585,0.1111,0.0702,0.0136,0.0314,0.0157,0.0339
5,9.0,1,6,90.0,119.0,28.0,57.0,18.0,6.0,0.0,4.0,5.0,5.0,16.0,4.0,6.0,5.0,2.0,8.0,1.0,0.0,0.0,0.0,0.7576,0.6364,67,6.1111,4.3333,1007.1865,0.0384,1.7778,3.6667,366.6667,177.7778,4.2222,108.0,6.0,0.0,0.0,11.0,1.0,18.0,1.8,10.0,6.6667,5.8851,2.8667,2.0,3.2222,4.08,5.4,1.6,6.6667,6.8889,7.8226,10.5263,19.0476,0.7483,5.0332,2.927,2.2098,1.3515,3.8714,2.5686,100.0,55.5556,0.0,0.0,0.0,22.2222,44.4444,55.5556,177.7778,311.1111,55.5556,88.8889,55.5556,633.3333,200.0,66.6667,122.2222,11.1111,0.0,0.0,0.0,0.0,66.6667,0.0,66.6667,44.4444,116.9589,211.64,0.6333,0.3111,0.1778,0.0889,0.0556,11.1111,0.7444,0.8214,0.75,1.0,0.6,0.7929,0.7778,0.6786,0.625,1.0,0.6,0.7259,0.1515,0.25,0.2,0.25,0.1944,0.25,0.1944,0.0545,0.044,0.0253,0.0375
