adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0545,1.0,0.0545,1.0,3.0,27.2727,13.0,118.1818,0.125,0.1389,1.0,9.0909,0.0,0.0,0.025,0.0253,0.0183,0.0306,0.9207,1577.4398,6.2727,8.2,2.1429,63.6364,6.2222,1.0,1.0,0.8125,0.75,0.8273,0.5,5.0472,2.0713,0.7091,8.0,72.7273,0.0301,4.5556,12.5,113.6364,4.7778,3.3333,6.4103,58.2755,2.8889,635.5556,147.3043,9.0909,0.3636,0.0,0.0,390.9091,0.875,6.0,54.5455,6.0,54.5455,0.4419,4.0,36.3636,85,0.0,0.0,8.0,72.7273,7.0,78.0,709.0909,0.4186,1.0,40.0,363.6364,5,45.4545,0.0,0.0,3.0,27.2727,2,2.8889,0.0,0.0,0.0,0.0,2.0,18.1818,3.0,27.2727,5.0,45.4545,9.0,81.8182,17.0,154.5455,2.7838,1.0772,30.0,26.0,236.3636,110.0,136.0,7.0,4,0.0698,12.2222,8.6667,3.0912,5.1159,1.8,0.7483,0.6541,0.6282,0.0664,0.0719,0.6088,0.1158,0.7727,0.125,0.1389,1.0,9.0909,0.2364,236.3636,0.8077,6.0943,6.8333,2.3988,2.4745
0.0292,1.0,0.0819,0.7857,6.0,35.0877,20.0,116.9591,0.1053,0.0789,2.0,11.6959,0.0,0.0,0.0178,0.0381,0.0127,0.0323,0.8663,1598.3551,7.4138,8.6522,2.6667,70.1754,3.9,1.0,0.7857,0.7863,0.7377,0.883,0.6216,5.506,1.9821,0.6842,10.0,58.4795,0.0218,3.7,7.1429,41.7713,3.4,2.6,2.5641,14.9947,1.85,5825.15,238.0,11.6959,0.3567,0.0714,0.1333,397.6608,0.8689,5.0,29.2398,14.0,81.8713,0.5735,3.0,17.5439,136,0.0,0.0,13.0,76.0234,12.0,117.0,684.2105,0.5294,2.0,61.0,356.7251,6,35.0877,2.0,11.6959,4.0,23.3918,1,2.65,0.0,0.0,0.0,0.0,1.0,5.848,2.0,11.6959,3.0,17.5439,20.0,116.9591,18.0,105.2632,2.7965,1.146,52.0,37.0,216.3743,171.0,224.0,3.7714,3,0.0615,8.55,6.15,3.1824,4.0924,3.3333,1.4907,0.5528,0.4777,0.1249,0.1309,0.515,0.1305,0.7953,0.1053,0.0737,2.0,11.6959,0.2164,216.3743,0.8108,6.4821,7.3333,2.3742,2.5681
0.0583,0.9167,0.0291,1.0,6.0,29.1262,29.0,140.7767,0.25,0.25,4.0,19.4175,0.0,0.0,0.0262,0.0363,0.0287,0.0403,0.8479,1165.1974,6.1667,7.8889,1.0,82.5243,4.2941,0.8333,1.0,0.7219,0.6986,0.8495,0.3556,5.4478,2.437,0.6602,19.0,92.233,0.0356,4.2353,22.5,109.2233,4.7059,3.0,11.0294,53.5408,2.6471,231.7059,132.7996,19.4175,0.3544,0.2,0.2143,388.3495,0.8082,12.0,58.2524,6.0,29.1262,0.7,9.0,43.6893,141,0.0,0.0,15.0,72.8155,17.0,136.0,660.1942,0.6,4.0,73.0,354.3689,7,33.9806,0.0,0.0,8.0,38.835,5,2.2353,0.0,0.0,0.0,0.0,5.0,24.2718,10.0,48.5437,15.0,72.8155,17.0,82.5243,24.0,116.5049,2.8841,1.3922,51.0,45.0,218.4466,206.0,244.0,4.7407,5,0.0988,12.1176,8.7059,4.1694,6.1537,2.4286,0.7284,0.648,0.6428,0.0543,0.1271,0.6078,0.1414,0.6845,0.3125,0.2941,0.0,0.0,0.2184,218.4466,0.6667,6.2687,7.2027,2.7631,2.9418
0.0462,0.5556,0.041,1.0,5.0,25.641,40.0,205.1282,0.3636,0.2273,1.0,5.1282,0.0,0.0,0.0684,0.1411,0.0288,0.0689,0.7533,798.2406,6.75,8.1724,0.8571,71.7949,5.75,0.4444,1.0,0.654,0.5833,0.7692,0.5882,5.6082,2.1685,0.6308,34.0,174.359,0.0468,4.75,17.5,89.7436,6.5833,3.5,8.9431,45.8621,2.8333,225.0,93.4774,0.0,0.3692,0.2,0.1667,405.1282,0.7222,9.0,46.1538,8.0,41.0256,0.5823,7.0,35.8974,122,0.0,0.0,11.0,56.4103,14.0,123.0,630.7692,0.4557,0.0,72.0,369.2308,7,35.8974,0.0,0.0,11.0,56.4103,6,3.6667,0.0,0.0,1.0,5.1282,1.0,5.1282,9.0,46.1538,11.0,56.4103,12.0,61.5385,10.0,51.2821,2.8469,1.1549,42.0,34.0,174.359,195.0,239.0,2.907,5,0.1325,16.25,11.5833,8.5679,12.444,1.7143,0.6999,0.6328,0.6514,0.1989,0.1716,0.6058,0.1322,0.6256,0.3636,0.2273,0.0,0.0,0.1744,174.359,0.7353,6.3866,7.3597,2.4495,2.7583
0.0811,0.75,0.0405,1.0,3.0,20.2703,27.0,182.4324,0.2,0.2364,6.0,40.5405,0.0,0.0,0.014,0.0221,0.0246,0.0425,0.8453,1187.9327,6.8667,6.8667,0.0,67.5676,4.0909,0.75,1.0,0.7551,0.6154,0.8041,0.6552,9.0,39.9445,0.6689,18.0,121.6216,0.0377,4.2727,23.0769,155.925,5.0,2.9091,10.101,68.25,2.6364,248.3636,159.2242,13.5135,0.3514,0.0,0.25,371.6216,0.7692,12.0,81.0811,6.0,40.5405,0.4727,6.0,40.5405,104,0.0,0.0,11.0,74.3243,10.0,99.0,668.9189,0.4182,2.0,52.0,351.3514,8,54.0541,0.0,0.0,4.0,27.027,1,2.5455,2.0,13.5135,0.0,0.0,1.0,6.7568,7.0,47.2973,10.0,67.5676,11.0,74.3243,12.0,81.0811,2.9597,1.1637,32.0,29.0,195.9459,148.0,176.0,3.55,2,0.0714,13.4545,9.7273,4.9926,6.2138,1.375,0.696,0.628,0.6007,0.1422,0.129,0.5705,0.1578,0.7027,0.3,0.2545,0.0,0.0,0.1959,195.9459,0.8621,6.6879,7.5327,2.1931,2.5436
