prop,num_punct_in_sentence,num_total_prop,num_subord,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,ratio_proper_nouns_per_nouns
5,2,51.0,17.0,0.5139,0.4583,4.913,619.2609,1297.3796,0.0353,1.913,3.1304,339.6226,207.5472,4.0,211.0,3.2857,9.2174,6.1034,5.4236,2.7217,2.2174,1.9565,4.8333,6.5349,2.25,7.5143,5.8696,7.3111,11.3475,17.5439,1.3851,3.8216,2.7533,1.997,1.2487,2.9533,2.3928,108.4906,33.0189,0.0,0.0,51.8868,80.1887,75.4717,207.5472,349.0566,0.0,51.8868,56.6038,665.0943,150.9434,9.434,89.6226,33.0189,18.8679,0.0,4.717,4.717,61.3208,4.717,75.4717,47.1698,53.5259,82.7542,0.6651,0.3491,0.2075,0.0519,0.0566,33.0189,0.684,0.7973,0.7955,1.0,0.9167,0.8774,0.7642,0.6892,0.6136,1.0,0.9167,0.8049,0.0625,0.0909,0.1364,0.0949,0.1364,0.0949,0.02,0.0383,0.0122,0.0344,
3,5,45.0,13.0,0.6667,0.5385,2.087,1567.5217,1274.4944,0.0325,1.9565,3.3913,397.9592,229.5918,3.6522,142.1487,1.6429,8.5217,5.8351,7.3564,2.5561,1.9565,2.087,10.6383,5.3953,2.8889,7.2,6.3043,6.4759,6.015,14.2857,0.8113,5.0551,2.4796,34.679,1.0212,3.5439,2.3374,117.3469,71.4286,0.0,20.4082,51.0204,66.3265,30.6122,229.5918,382.6531,5.102,35.7143,30.6122,678.5714,122.449,0.0,102.0408,15.3061,0.0,5.102,15.3061,0.0,25.5102,0.0,40.8163,35.7143,30.6888,72.8862,0.6786,0.3827,0.2296,0.0357,0.0306,10.2041,0.7092,0.7333,0.8222,1.0,1.0,0.8889,0.7296,0.52,0.5778,1.0,1.0,0.7744,0.2222,0.1667,0.1364,0.1067,0.1364,0.1107,0.0195,0.0465,0.0131,0.0343,0.0132
2,1,47.0,12.0,0.6316,0.5614,2.7391,6668.3478,1420.0689,0.0382,1.5217,2.4783,341.3174,209.5808,3.4348,154.5515,4.6,7.2609,5.7911,5.0823,2.6228,2.0435,2.087,3.5238,7.3333,2.0,8.0,4.9565,6.7193,23.4783,37.8378,3.3823,4.8831,2.6049,1.869,1.2744,3.6173,2.3151,137.7246,29.9401,0.0,0.0,35.9281,71.8563,107.7844,209.5808,311.3772,41.9162,143.7126,23.9521,688.6228,179.6407,5.988,137.7246,35.9281,0.0,0.0,35.9281,53.8922,71.8563,0.0,161.6766,83.8323,140.5886,226.5737,0.6886,0.3114,0.2096,0.1437,0.024,5.988,0.6886,0.7885,0.7714,0.8333,1.0,0.8483,0.7844,0.5769,0.5429,0.75,1.0,0.7175,0.0556,0.0429,0.0455,0.0632,0.0455,0.0632,0.0147,0.0325,0.0176,0.0396,0.1186
1,1,56.0,17.0,0.5143,0.3714,3.5417,2510.125,1338.0571,0.0375,2.0417,2.9167,353.5354,247.4747,3.7917,94.8718,4.0,8.25,6.0209,5.1518,2.7071,2.3333,2.0,6.2955,5.7895,3.1429,7.3333,5.7083,6.927,15.7895,23.4043,2.582,4.9687,2.7131,1.8793,1.1742,3.5176,2.542,121.2121,30.303,0.0,0.0,80.8081,85.8586,60.6061,247.4747,328.2828,20.202,40.404,55.5556,671.7172,171.7172,15.1515,116.1616,30.303,5.0505,5.0505,55.5556,0.0,45.4545,5.0505,106.0606,55.5556,79.7449,118.2035,0.6717,0.3283,0.2475,0.0404,0.0556,25.2525,0.6768,0.8,0.7143,1.0,1.0,0.8786,0.7576,0.7077,0.449,1.0,1.0,0.7892,0.2222,0.2143,0.2174,0.1051,0.2174,0.1051,0.0365,0.051,0.0185,0.0371,0.058
2,4,39.0,12.0,0.4255,0.3617,4.2,784.0,1131.168,0.0373,1.9333,3.1333,333.3333,205.6738,4.0,140.7179,1.875,9.4,6.6906,5.518,2.8652,2.6,2.2,2.619,7.25,1.0,7.8182,6.5333,7.6837,9.6774,25.9259,0.7806,5.487,2.7058,2.2516,1.2504,3.4033,2.3802,106.383,56.7376,0.0,7.0922,56.7376,85.1064,63.8298,205.6738,297.8723,28.3688,92.1986,63.8298,659.5745,269.5035,56.7376,156.0284,42.5532,14.1844,0.0,49.6454,0.0,14.1844,0.0,63.8298,49.6454,68.634,183.8716,0.6596,0.2979,0.2057,0.0922,0.0638,14.1844,0.7092,0.8571,0.7586,0.6923,0.7778,0.7714,0.7872,0.6667,0.5862,0.5385,0.7778,0.6423,0.1429,0.2222,0.0714,0.0667,0.0714,0.0667,0.0175,0.0519,0.0146,0.0376,0.087
