adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_personal_pronouns,num_personal_pronouns_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std
0.0519,1.0,0.0566,0.9167,7.0,33.0189,32.0,150.9434,0.1364,0.0949,2.0,9.434,0.0,0.0,0.02,0.0383,0.0122,0.0344,0.8774,1297.3796,6.5349,7.5143,2.25,51.8868,4.913,1.0,0.9167,0.8049,0.6892,0.7642,0.6136,5.4236,1.997,0.6651,19.0,89.6226,0.0353,4.0,17.5439,82.7542,3.1304,2.2174,11.3475,53.5259,1.913,619.2609,211.0,33.0189,0.3491,0.0625,0.0909,339.6226,0.7973,11.0,51.8868,12.0,56.6038,0.5139,10.0,47.1698,145,0.0,0.0,16.0,75.4717,11.0,141.0,665.0943,0.4583,7.0,74.0,349.0566,7,33.0189,0.0,0.0,0.0,0.0,2,1.9565,1.0,4.717,1.0,4.717,1.0,4.717,13.0,61.3208,16.0,75.4717,23.0,108.4906,17.0,80.1887,2.7042,1.2604,51.0,44.0,207.5472,212.0,257.0,4.8333,5,0.0,9.2174,5.8696,2.9533,3.8216,3.2857,1.3851,0.5548,0.5412,0.0535,0.1253,0.5375,0.1035,0.684,0.1364,0.0949,4.0,18.8679,0.2075,207.5472,0.7955,6.1034,7.3111,2.3928,2.7533
0.0357,1.0,0.0306,1.0,3.0,15.3061,24.0,122.449,0.1364,0.1067,0.0,0.0,1.0,5.102,0.0195,0.0465,0.0131,0.0343,0.8889,1274.4944,5.3953,7.2,2.8889,51.0204,2.087,1.0,1.0,0.7744,0.52,0.7296,0.5778,7.3564,34.679,0.6786,20.0,102.0408,0.0325,3.6522,14.2857,72.8862,3.3913,1.9565,6.015,30.6888,1.9565,1567.5217,142.1487,10.2041,0.3827,0.2222,0.1667,397.9592,0.7333,7.0,35.7143,6.0,30.6122,0.6667,7.0,35.7143,139,0.0,0.0,6.0,30.6122,10.0,133.0,678.5714,0.5385,2.0,75.0,382.6531,14,71.4286,4.0,20.4082,1.0,5.102,5,2.087,0.0,0.0,0.0,0.0,3.0,15.3061,5.0,25.5102,8.0,40.8163,23.0,117.3469,13.0,66.3265,2.5482,1.0246,45.0,45.0,229.5918,196.0,244.0,10.6383,3,0.0132,8.5217,6.3043,3.5439,5.0551,1.6429,0.8113,0.5109,0.4487,0.1648,0.1693,0.4762,0.1599,0.7092,0.1364,0.1107,0.0,0.0,0.2296,229.5918,0.8222,5.8351,6.4759,2.3374,2.4796
0.1437,0.8333,0.024,1.0,6.0,35.9281,30.0,179.6407,0.0455,0.0632,1.0,5.988,0.0,0.0,0.0147,0.0325,0.0176,0.0396,0.8483,1420.0689,7.3333,8.0,2.0,35.9281,2.7391,0.75,1.0,0.7175,0.5769,0.7844,0.5429,5.0823,1.869,0.6886,23.0,137.7246,0.0382,3.4348,37.8378,226.5737,2.4783,2.0435,23.4783,140.5886,1.5217,6668.3478,154.5515,5.988,0.3114,0.0556,0.0429,341.3174,0.7885,24.0,143.7126,4.0,23.9521,0.6316,14.0,83.8323,115,0.0,0.0,18.0,107.7844,6.0,115.0,688.6228,0.5614,1.0,52.0,311.3772,5,29.9401,0.0,0.0,7.0,41.9162,1,2.087,9.0,53.8922,0.0,0.0,6.0,35.9281,12.0,71.8563,27.0,161.6766,23.0,137.7246,12.0,71.8563,2.6131,1.2767,47.0,35.0,209.5808,167.0,215.0,3.5238,2,0.1186,7.2609,4.9565,3.6173,4.8831,4.6,3.3823,0.4632,0.4768,0.0971,0.1351,0.4503,0.1179,0.6886,0.0455,0.0632,0.0,0.0,0.2096,209.5808,0.7714,5.7911,6.7193,2.3151,2.6049
0.0404,1.0,0.0556,1.0,6.0,30.303,34.0,171.7172,0.2174,0.1051,3.0,15.1515,1.0,5.0505,0.0365,0.051,0.0185,0.0371,0.8786,1338.0571,5.7895,7.3333,3.1429,80.8081,3.5417,1.0,1.0,0.7892,0.7077,0.7576,0.449,5.1518,1.8793,0.6717,23.0,116.1616,0.0375,3.7917,23.4043,118.2035,2.9167,2.3333,15.7895,79.7449,2.0417,2510.125,94.8718,25.2525,0.3283,0.2222,0.2143,353.5354,0.8,8.0,40.404,11.0,55.5556,0.5143,11.0,55.5556,134,0.0,0.0,12.0,60.6061,16.0,133.0,671.7172,0.3714,5.0,65.0,328.2828,6,30.303,0.0,0.0,4.0,20.202,1,2.0,0.0,0.0,1.0,5.0505,11.0,55.5556,9.0,45.4545,21.0,106.0606,24.0,121.2121,17.0,85.8586,2.6985,1.1775,56.0,49.0,247.4747,198.0,246.0,6.2955,1,0.058,8.25,5.7083,3.5176,4.9687,4.0,2.582,0.4717,0.357,0.1262,0.1762,0.4445,0.1681,0.6768,0.2174,0.1051,1.0,5.0505,0.2475,247.4747,0.7143,6.0209,6.927,2.542,2.7131
0.0922,0.6923,0.0638,0.7778,6.0,42.5532,38.0,269.5035,0.0714,0.0667,8.0,56.7376,0.0,0.0,0.0175,0.0519,0.0146,0.0376,0.7714,1131.168,7.25,7.8182,1.0,56.7376,4.2,0.5385,0.7778,0.6423,0.6667,0.7872,0.5862,5.518,2.2516,0.6596,22.0,156.0284,0.0373,4.0,25.9259,183.8716,3.1333,2.6,9.6774,68.634,1.9333,784.0,140.7179,14.1844,0.2979,0.1429,0.2222,333.3333,0.8571,13.0,92.1986,9.0,63.8298,0.4255,7.0,49.6454,100,0.0,0.0,9.0,63.8298,8.0,93.0,659.5745,0.3617,2.0,42.0,297.8723,8,56.7376,1.0,7.0922,4.0,28.3688,4,2.2,0.0,0.0,0.0,0.0,7.0,49.6454,2.0,14.1844,9.0,63.8298,15.0,106.383,12.0,85.1064,2.8521,1.2557,39.0,29.0,205.6738,141.0,174.0,2.619,2,0.087,9.4,6.5333,3.4033,5.487,1.875,0.7806,0.485,0.3687,0.209,0.2033,0.4493,0.2289,0.7092,0.0714,0.0667,2.0,14.1844,0.2057,205.6738,0.7586,6.6906,7.6837,2.3802,2.7058
