num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_proper_noun,num_adj,num_lexic_words,num_noun,num_total_prop,num_verb,num_subord,num_adv,num_rare_words,num_rare_adj,num_dif_rare_words,num_neg,num_rare_verbs,num_indic,num_rare_nouns,num_inf,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
10,25.0,1,1,322.0,398.0,26.0,29.0,209.0,103.0,72.0,54.0,29.0,23.0,22.0,2.0,12.0,3.0,15.0,17.0,5.0,10.0,0.8819,0.6535,212,5.08,549.44,1155.7944,0.0335,2.16,5.08,394.4099,167.7019,4.92,205.8184,1.0,4.0,3.0,19.0,11.0,38.0,2.5,12.88,7.3257,6.3816,3.1584,2.88,3.04,5.9365,6.06,2.75,7.6176,9.12,8.443,10.5263,16.0,1.2042,6.5073,3.5097,2.9074,1.5046,4.6245,3.2675,77.6398,31.0559,0.0,0.0,0.0,0.0,31.0559,90.0621,52.795,167.7019,319.8758,80.7453,90.0621,71.4286,649.0683,118.0124,3.1056,59.0062,34.1615,12.4224,9.3168,15.528,6.2112,46.5839,0.0,0.0,68.323,37.2671,32.6904,49.6894,0.6491,0.3199,0.1677,0.0901,0.0714,9.3168,0.6584,0.8155,0.7037,0.7931,0.7391,0.7629,0.7609,0.6311,0.4815,0.7241,0.7391,0.644,0.2016,0.0,0.0,0.0417,0.0733,0.0417,0.0733,0.0181,0.0295,0.0168,0.0396
10,36.0,3,2,737.0,893.0,65.0,60.0,468.0,226.0,167.0,146.0,88.0,36.0,35.0,9.0,25.0,9.0,17.0,29.0,6.0,20.0,0.8434,0.6904,409,8.5833,95.8333,1037.871,0.0375,4.0556,7.8056,381.2754,198.1004,6.1389,179.5813,4.0,11.0,0.0,83.0,14.0,112.0,3.6,20.4722,6.8204,5.959,3.076,4.6389,4.3333,5.2147,5.9799,2.35,7.3119,14.8056,7.8143,7.4786,17.8571,1.2,10.9227,3.1819,2.544,1.554,9.2431,2.9621,48.8467,13.5685,0.0,0.0,4.0,5.4274,27.137,119.403,39.3487,198.1004,306.6486,88.1954,81.4111,48.8467,635.0068,151.9674,5.4274,112.6187,18.9959,14.9254,0.0,8.1411,12.2117,23.0665,3.0,4.0706,47.4898,33.9213,10.1474,24.2294,0.635,0.3066,0.1981,0.0814,0.0488,12.2117,0.555,0.6195,0.6712,0.7667,0.6389,0.6741,0.5916,0.4646,0.4041,0.6833,0.6389,0.5477,0.2234,0.3462,0.2593,0.3143,0.2524,0.3143,0.2508,0.0252,0.0373,0.0175,0.0313
7,20.0,3,7,259.0,324.0,11.0,21.0,186.0,103.0,55.0,47.0,24.0,15.0,11.0,0.0,7.0,3.0,8.0,10.0,3.0,10.0,0.8482,0.6696,175,5.95,212.2,1082.8909,0.0338,2.35,5.6,432.4324,181.4672,4.75,119.2273,3.0,1.0,0.0,21.0,2.0,27.0,2.8571,12.95,6.9206,7.9524,3.0927,2.75,3.25,5.4306,6.918,1.9091,8.02,9.75,7.8564,5.914,10.6061,1.5518,5.296,3.041,29.9515,1.4675,4.5042,2.7156,77.2201,27.027,0.0,0.0,0.0,0.0,38.61,92.6641,38.61,181.4672,397.6834,42.471,81.0811,57.9151,718.1467,104.2471,11.583,81.0811,7.722,3.861,0.0,11.583,0.0,30.888,0.0,0.0,42.471,27.027,22.834,40.9502,0.7181,0.3977,0.1815,0.0811,0.0579,11.583,0.6757,0.7282,0.8085,0.8571,0.7333,0.7818,0.749,0.5534,0.5957,0.8095,0.7333,0.673,0.0965,0.2308,0.2222,0.2105,0.1842,0.2105,0.2,0.0269,0.0549,0.0166,0.0343
3,10.0,1,1,100.0,116.0,2.0,5.0,67.0,36.0,21.0,20.0,8.0,6.0,4.0,0.0,4.0,1.0,3.0,5.0,0.0,2.0,1.1579,0.8158,75,4.9,1237.9,1071.4286,0.0355,2.0,3.8,380.0,200.0,5.0,137.214,0.0,1.0,0.0,7.0,3.0,11.0,3.3333,10.0,7.4062,11.0729,3.38,2.1,1.6,8.2941,4.3571,2.4286,6.2857,7.4,8.3378,5.9701,17.3913,1.6997,2.9665,3.1675,48.2852,1.5283,2.498,2.9467,100.0,30.0,0.0,0.0,0.0,0.0,20.0,80.0,50.0,200.0,360.0,20.0,50.0,60.0,670.0,110.0,0.0,70.0,30.0,10.0,0.0,0.0,0.0,30.0,1.0,10.0,40.0,40.0,59.701,173.913,0.67,0.36,0.2,0.05,0.06,10.0,0.75,0.6944,0.95,1.0,1.0,0.9111,0.84,0.5833,0.85,1.0,1.0,0.8583,0.0526,0.0,0.0625,0.2222,0.2667,0.2222,0.2667,0.0233,0.0471,0.0268,0.0459
3,15.0,5,5,223.0,272.0,6.0,7.0,148.0,86.0,42.0,43.0,17.0,12.0,7.0,1.0,4.0,2.0,6.0,11.0,0.0,3.0,0.7912,0.6593,154,3.9333,3014.1333,1291.5677,0.0336,2.8667,6.0667,408.0717,192.8251,4.7333,231.7878,3.0,4.0,0.0,20.0,9.0,36.0,5.0,14.8667,6.4396,5.4879,2.9148,2.8,3.2667,6.7544,5.7115,1.6667,7.8529,9.6,7.5069,4.7297,7.5472,2.9439,5.6198,2.7142,2.0639,1.2695,3.8088,2.4037,67.2646,13.4529,0.0,0.0,0.0,0.0,13.4529,76.2332,49.3274,192.8251,385.6502,26.9058,31.3901,53.8117,663.6771,161.435,13.4529,89.6861,40.3587,17.9372,0.0,0.0,4.4843,26.9058,0.0,0.0,31.3901,17.9372,21.2094,33.8439,0.6637,0.3857,0.1928,0.0314,0.0538,8.9686,0.6906,0.8372,0.7209,1.0,0.75,0.827,0.6637,0.6744,0.5116,1.0,0.75,0.734,0.0652,0.3333,0.2093,0.2857,0.1524,0.2857,0.1524,0.0225,0.0285,0.0192,0.0304
