@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_words_more_3_syl numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute verb_phrase_density_incidence numeric
@attribute flesch numeric
@attribute similarity_pairs_par_std numeric
@attribute similarity_adjacent_par_std numeric
@attribute polysemic_index numeric
@attribute mean_distinct_rare numeric
@attribute words_length_no_stopwords_std numeric
@attribute num_paragraphs_incidence numeric
@attribute num_subord_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute simple_ttr numeric
@attribute lemma_ttr numeric
@attribute ratio_proper_nouns_per_nouns numeric
@attribute content_overlap_all_mean numeric
@attribute level {0,1}

@data
34,845.2877,13.25,162.9834,38.8618,0.0532,0.0121,5.5814,24.0602,2.7112,11.0497,107.7348,22.0994,13.8122,88.3978,0.511,0.5387,0.1667,0.0321,0
19,986.8177,6.3333,230.7692,70.624,0.0853,0.0412,5.7397,24.4275,3.1426,9.6154,147.4359,6.4103,19.2308,102.5641,0.5833,0.6122,0.0526,0.0159,0
31,1013.2544,5.32,179.3722,77.3876,0.0748,0.0192,5.7368,27.6074,2.3667,8.9686,73.991,24.6637,26.9058,100.8969,0.4888,0.5426,0.0707,0.0151,0
25,920.2592,15.6667,159.375,36.565,0.0294,0.0261,5.3133,20.4545,2.5318,9.375,118.75,12.5,18.75,84.375,0.5625,0.5844,0.0571,0.0132,0
27,885.9144,11.1429,145.7627,43.6509,0.0356,0.0249,4.7534,18.3486,2.2932,10.1695,84.7458,27.1186,16.9492,67.7966,0.5593,0.5661,0.1311,0.0304,0
47,893.3596,2.6167,173.3871,84.8193,0.1207,0.0917,4.3279,35.3933,2.2168,52.4194,62.5,18.1452,34.2742,127.0161,0.4677,0.5706,0.0283,0.0081,1
64,958.5942,3.0135,189.4374,79.7941,0.0889,0.0641,4.5992,42.4342,2.2661,11.4811,61.9977,19.5178,18.3697,148.1056,0.4455,0.473,0.0261,0.0096,1
32,950.7796,3.6545,164.7059,89.6206,0.1289,0.0858,3.8142,32.5243,2.1293,50.4202,75.6303,3.3613,8.4034,112.605,0.4723,0.5109,0.0496,0.007,1
109,1419.6297,4.5,145.6044,73.8237,0.1497,0.0835,4.2519,34.633,2.2556,14.652,56.7766,14.652,28.3883,138.2784,0.4835,0.5211,0.0319,0.0041,1
18,680.2272,2.8667,179.4195,97.405,0.0983,0.0945,3.6351,33.6634,1.8607,79.1557,63.3245,5.277,7.9156,89.7098,0.4037,0.467,0,0.0111,1
23,838.0381,9.75,178.0105,60.3386,0.0445,0.0209,4.012,20.3008,2.2942,13.089,104.712,15.7068,15.7068,70.6806,0.4843,0.5681,0.1124,0.0459,0
22,875.453,15.5714,196.7213,40.0659,0.045,0.0173,4.9512,22.9008,2.0954,13.6612,133.8798,16.3934,8.1967,81.9672,0.4945,0.5383,0.0833,0.0447,0
24,892.1257,9.4444,182.4104,55.76,0.0337,0.0085,5.1494,27.7311,2.475,9.772,107.4919,19.544,6.5147,107.4919,0.5375,0.6059,0.1212,0.0231,0
29,882.9601,5.56,167.4009,74.1318,0.1069,0.0828,4.5259,33.3333,2.3355,28.6344,85.9031,26.4317,26.4317,112.3348,0.4758,0.5749,0.2952,0.0226,0
