prop,num_punct_in_sentence,num_words_more_3_syl,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,flesch,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,num_past_irregular_mean,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,num_first_pers_pron_incidence,num_first_pers_sing_pron_incidence,num_third_pers_pron_incidence,gerund_incidence,infinitive_incidence,num_subord_incidence,num_past_incidence,num_pres_incidence,num_future_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_past_irregular_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,level
9,2,29.0,1.4404,1.0917,4.0909,2.55,802.7487,0.0603,5.5455,9.9091,290.6667,162.6667,7.0909,95.4363,54.4673,2.75,34.0909,4.4759,4.2834,1.96,6.0,2.5455,5.2917,6.2658,2.0435,8.0,0.4286,12.7273,6.7714,19.883,24.6269,1.479,13.7474,2.5074,2.3423,1.0125,4.9926,2.0954,29.3333,10.6667,0.0,34.6667,0.0,0.0,34.6667,13.3333,53.3333,96.0,37.3333,2.6667,0.0,80.0,162.6667,194.6667,34.6667,45.3333,53.3333,16.0,456.0,109.3333,24.0,45.3333,21.3333,18.6667,0.0,37.3333,13.3333,40.0,0.0,90.6667,88.0,53.0213,65.6717,0.456,0.1947,0.1627,0.0453,0.0533,5.3333,0.4907,0.7945,0.7869,0.8235,0.75,0.7887,0.5253,0.7671,0.623,0.8824,0.75,0.7556,0.1512,0.1429,0.2143,0.5,0.4545,0.2,0.3273,0.0326,0.0323,0.0279,0.0306,0
6,3,16.0,1.0737,0.9368,4.0588,3.3706,940.9509,0.0499,4.3529,5.5882,294.1176,229.1022,5.7059,75.5398,76.0049,5.6667,19.0,4.3622,4.1579,1.8576,4.5882,2.2353,5.5696,6.1964,2.0,7.5952,0.4706,6.8235,6.5086,19.1617,24.6154,2.8674,11.7173,2.4104,2.2512,0.91,4.7184,1.9935,52.6316,9.2879,6.192,89.7833,27.8638,15.4799,49.5356,3.096,43.3437,136.2229,52.6316,89.7833,0.0,145.5108,229.1022,173.3746,0.0,77.3994,37.1517,24.7678,517.0279,126.935,37.1517,52.6316,6.192,21.6718,9.2879,12.3839,18.5759,68.1115,0.0,99.0712,99.0712,59.3241,76.2087,0.517,0.1734,0.2291,0.0774,0.0372,18.5759,0.5573,0.6964,0.8784,0.84,0.5,0.7287,0.5851,0.6964,0.6216,0.68,0.5,0.6245,,0.3571,0.1731,0.4375,0.2279,0.3125,0.1618,0.0293,0.0354,0.0171,0.0301,0
4,1,28.0,1.4104,1.1791,4.72,3.1896,999.0457,0.0584,3.12,5.36,294.5055,171.4286,5.24,72.6273,79.0892,6.25,18.2,4.2725,4.0132,1.8198,3.24,1.68,5.6186,6.2527,2.2,7.7879,0.4286,7.08,6.4972,24.8869,26.8293,2.2776,7.9145,2.4514,2.2765,0.969,3.3096,2.0256,54.9451,8.7912,0.0,46.1538,0.0,0.0,46.1538,4.3956,46.1538,65.9341,61.5385,17.5824,0.0,107.6923,171.4286,208.7912,15.3846,48.3516,57.1429,26.3736,485.7143,92.3077,15.3846,52.7473,24.1758,0.0,0.0,43.956,26.3736,50.5495,0.0,120.8791,96.7033,54.6965,58.9655,0.4857,0.2088,0.1714,0.0484,0.0571,13.1868,0.4791,0.6632,0.8333,1.0,0.5385,0.7588,0.5363,0.5895,0.6282,1.0,0.5385,0.689,0.0686,0.2381,0.2632,0.2917,0.2867,0.2083,0.23,0.0291,0.0453,0.0179,0.0318,0
2,1,21.0,1.5474,1.2842,4.6667,2.3233,902.2789,0.0493,5.7778,10.5556,290.5199,159.0214,6.7778,98.2498,56.569,3.0,36.3333,4.4383,4.0586,1.8869,6.7778,3.6667,5.3563,5.5246,2.3125,6.6667,0.125,13.4444,6.6033,16.3636,19.5489,0.8165,11.9907,2.3764,2.1372,0.9781,4.2193,1.8429,27.5229,9.1743,0.0,48.9297,0.0,0.0,48.9297,12.2324,48.9297,110.0917,24.4648,0.0,0.0,85.6269,159.0214,204.893,12.2324,64.2202,76.4526,3.0581,504.5872,79.5107,9.1743,39.7554,12.2324,18.3486,0.0,15.2905,18.3486,45.8716,3.0581,82.5688,79.5107,50.0416,59.7826,0.5046,0.2049,0.159,0.0642,0.0765,18.3486,0.5596,0.7761,0.8846,0.9524,0.6,0.8033,0.581,0.7463,0.6346,0.9048,0.56,0.7114,0.0563,0.3333,0.3,0.875,0.6389,0.5,0.3056,0.0242,0.0238,0.0218,0.0224,0
2,1,23.0,1.4691,1.2222,4.2222,2.9067,851.5104,0.0528,5.0,9.0,270.0,150.0,6.4444,98.2448,54.64,3.0,33.3333,4.4295,4.2215,1.97,5.1111,2.8889,4.6667,5.3962,2.2857,7.4375,0.5556,12.3333,6.6216,19.5804,21.4286,1.633,13.5647,2.442,2.3311,1.0177,5.0772,2.0047,30.0,10.0,0.0,63.3333,3.3333,3.3333,60.0,3.3333,46.6667,80.0,30.0,16.6667,0.0,80.0,150.0,186.6667,26.6667,70.0,70.0,16.6667,476.6667,133.3333,46.6667,33.3333,26.6667,20.0,6.6667,46.6667,13.3333,30.0,3.3333,93.3333,80.0,65.268,71.4287,0.4767,0.1867,0.15,0.07,0.07,6.6667,0.55,0.8036,0.7778,0.9524,0.5714,0.7763,0.55,0.7143,0.6,0.8095,0.5714,0.6738,0.125,0.5,0.3077,0.625,0.7222,0.5,0.2778,0.0361,0.0281,0.028,0.0258,0
