@attribute noun_overlap_all numeric
@attribute argument_overlap_adjacent numeric
@attribute argument_overlap_all numeric
@attribute stem_overlap_adjacent numeric
@attribute stem_overlap_all numeric
@attribute content_overlap_adjacent_mean numeric
@attribute content_overlap_adjacent_std numeric
@attribute content_overlap_all_mean numeric
@attribute content_overlap_all_std numeric
@attribute level numeric

@data

15,27,1,1,349,428,6,57,31,172,67,45,28,38,13,28,37,67,6,6,8,22,26,5,12,0,5,0,0,0,1.6604,1.2547,168,3.7778,2.6556,908.9248,0.0641,2.1111,3.9259,303.7249,163.3238,4.4815,63.4563,77.2659,3,6,0,13,1,23,0.6956,0.1105,0.6917,0.1002,0.7042,0.0721,1.8,12.9259,4.7011,4.3534,1.9398,2.4815,2.9259,6.3049,6.4068,2.4667,7.75,0.5714,4.5926,7.6048,26.1628,31.1475,0.7483,7.63,2.7735,2.5015,1.0835,3.2002,2.1206,77.3639,42.9799,0,0,17.192,0,0,17.192,0,37.2493,80.2292,88.8252,163.3238,191.9771,17.192,74.4986,63.0372,22.9226,492.8367,65.9026,8.596,37.2493,2.8653,17.192,0,34.384,14.3266,80.2292,0,128.9398,108.8825,74.965,89.2479,0.4928,0.192,0.1633,0.0745,0.063,14.3266,0.4814,0.7463,0.7895,0.7692,0.4091,0.6785,0.5415,0.7164,0.614,0.6923,0.4091,0.6079,0.0822,0.0833,0.0667,0.0769,0.0684,0.0769,0.0712,0.0104,0.0258,0.0182,0.0409,1
4,18,3,1,323,355,6,58,35,162,62,22,35,8,34,20,61,3,18,28,16,10,9,26,19,17,2,1,2,1.2842,1.0842,187,3.5,2.8311,902.3478,0.046,3.2222,5.2778,294.1176,179.5666,5,125.7934,73.3664,9,10,1,13,12,45,0.7619,0.0842,0.7432,0.0992,0.7358,0.0309,4.5,17.9444,4.5187,4.4,1.9195,3.3889,1.7778,4.5116,6.2295,1.6667,8.1395,0.5556,7,6.7778,21.6049,25.1852,0.866,9.8741,2.6844,2.6201,1.0556,4.3461,2.4066,55.7276,12.3839,0,0,58.8235,6.192,3.096,52.6316,6.192,49.5356,86.6873,108.3591,179.5666,191.9505,18.5759,61.9195,68.1115,30.9598,501.548,139.3189,27.8638,40.2477,37.1517,30.9598,3.096,27.8638,24.7678,55.7276,0,0,108.3591,105.2632,66.8882,77.9728,0.5015,0.192,0.1796,0.0619,0.0681,9.2879,0.5789,0.7903,0.9483,0.9,0.6364,0.8187,0.6533,0.7581,0.7241,0.9,0.6364,0.7547,0.0882,0.0714,0.0909,0.2941,0.1895,0.0588,0.0784,0.007,0.0194,0.0107,0.026,0
12,29,3,2,328,380,25,55,36,141,54,19,34,2,29,13,58,3,17,20,8,8,14,20,25,9,11,11,2,0.9492,0.8136,170,3.4483,3.2452,806.9784,0.0574,1.8966,4.069,359.7561,167.6829,3.8621,94.0191,83.7181,7,9,0,7,11,34,0.6649,0.1332,0.6276,0.1354,0.6064,0.0517,2.4167,11.3103,4.3578,4.2875,1.8598,2,1.7931,5.0137,6.5208,2.5,7.5789,0.5714,4.5517,6.1742,24.1135,27.1028,0.9538,7.8437,2.4564,2.3494,0.987,3.1358,2.3045,88.4146,36.5854,0,0,76.2195,33.5366,33.5366,27.439,6.0976,24.3902,60.9756,109.7561,167.6829,164.6341,76.2195,39.6341,57.9268,24.3902,429.878,103.6585,21.3415,21.3415,33.5366,27.439,0,42.6829,6.0976,51.8293,1,3.0488,103.6585,88.4146,73.5168,82.6305,0.4299,0.1646,0.1677,0.0396,0.0579,9.1463,0.5183,0.7037,0.8909,0.8462,0.4737,0.7286,0.5854,0.6852,0.6727,0.8462,0.4737,0.6694,0.3165,0.1176,0.0769,0.2143,0.0911,0.1071,0.0542,0.014,0.0277,0.0096,0.0371,0
3,16,5,1,264,290,22,49,25,118,40,16,25,4,22,13,48,2,15,25,12,10,6,14,12,12,0,0,1,1.0741,0.9877,133,3.4375,2.6394,715.7185,0.066,3.0625,5.0625,306.8182,185.6061,5,63.6372,80.6918,11,8,0,6,5,30,0.7725,0.1022,0.7761,0.0721,0.7981,0.0346,5.3333,16.5,4.27,4.1521,1.822,3,1.625,4.4545,6.2917,2.0625,8.4062,0.5882,6.25,6.19,21.1864,23.6559,1.6997,7.2024,2.343,2.1835,0.9626,2.6101,2.1665,60.6061,11.3636,0,0,45.4545,0,0,45.4545,3.7879,45.4545,94.697,94.697,185.6061,151.5152,83.3333,49.2424,60.6061,37.8788,446.9697,113.6364,41.6667,22.7273,18.9394,30.303,0,22.7273,15.1515,56.8182,0,0,94.697,83.3333,80.2515,89.6057,0.447,0.1515,0.1856,0.0492,0.0606,7.5758,0.5038,0.725,0.8571,0.9231,0.625,0.7826,0.6212,0.7,0.6327,0.9231,0.625,0.7202,0.3548,0.3077,0.2051,0.2667,0.1667,0.2667,0.0917,0.0323,0.0427,0.0152,0.032,0
7,22,2,2,364,408,14,72,46,168,60,24,44,0,43,12,75,7,31,35,13,8,10,19,40,29,2,1,5,0.9735,0.8584,196,4.9545,3.2023,947.1243,0.0512,3.2727,5.1364,310.4396,197.8022,4.8182,95.3287,80.3483,6,7,2,19,6,40,0.7479,0.0797,0.7399,0.0947,0.7384,0.0645,3.1429,16.5455,4.174,4.058,1.8269,3.4091,2,3.9886,6.746,1.9231,8,0.4706,6.0909,6.2985,26.1905,32.3308,2.5873,8.7994,2.3982,2.3005,0.92,3.8128,2.0913,60.4396,19.2308,0,0,109.8901,5.4945,2.7473,79.6703,13.7363,35.7143,96.1538,126.3736,197.8022,164.8352,38.4615,32.967,65.9341,21.978,461.5385,109.8901,16.4835,52.1978,16.4835,19.2308,5.4945,27.4725,0,85.1648,3,8.2418,120.8791,118.1319,71.9519,88.8209,0.4615,0.1648,0.1978,0.033,0.0659,19.2308,0.5385,0.7333,0.9028,0.8333,0.5833,0.7632,0.5907,0.7167,0.7361,0.8333,0.5417,0.7069,0.1892,0.2,0.1915,0.2857,0.316,0.1429,0.1342,0.0183,0.0267,0.0169,0.0356,0
9,25,2,2,415,466,20,71,44,193,64,40,41,4,32,18,73,6,22,34,13,9,13,23,26,25,1,1,3,1.2288,1.0085,182,3.72,3.0328,850.8656,0.0701,2.84,4.72,284.3373,171.0843,5.08,70.8387,74.3899,17,12,1,11,12,53,0.7902,0.0887,0.764,0.0776,0.7701,0.0614,2.7778,16.6,4.439,4.2732,1.9253,2.92,2.04,4.7379,6.2034,2.1579,8.125,0.5294,6.12,6.6275,21.2435,24.0602,1.1331,5.7341,2.3607,2.2017,0.9727,2.3207,1.741,60.241,21.6867,0,0,62.6506,2.4096,2.4096,60.241,7.2289,31.3253,81.9277,106.0241,171.0843,154.2169,48.1928,43.3735,96.3855,21.6867,465.0602,127.7108,40.9639,26.506,28.9157,28.9157,2.4096,31.3253,9.6386,53.012,2,4.8193,98.7952,77.1084,51.1892,57.9764,0.4651,0.1542,0.1711,0.0434,0.0964,14.4578,0.4386,0.625,0.8592,0.9444,0.4,0.7071,0.588,0.5312,0.6479,0.9444,0.375,0.6246,0.2381,0.3125,0.3214,0.3333,0.3033,0.2917,0.24,0.0503,0.0648,0.0273,0.0417,0
12,24,2,2,476,548,69,15,57,27,227,107,24,46,29,70,39,80,9,23,1,12,24,19,8,32,8,3,3,1.4671,1.2171,222,5.5,2.7896,900.6496,0.0602,2.9167,6.3333,319.3277,147.0588,5.375,76.3195,72.4083,1,8,0,24,2,35,0.7602,0.0787,0.7598,0.0723,0.7361,0.0683,2,19.8333,4.4383,4.2851,1.9034,3.3333,3,4.2444,6.7255,1.7143,7.5227,0.2903,7.75,6.9785,30.3965,33.9286,1,12.1986,2.7241,2.5129,1.0567,4.4182,2.248,50.4202,25.2101,0,0,50.4202,6.3025,6.3025,39.916,16.8067,25.2101,67.2269,81.9328,147.0588,224.7899,0,0,56.7227,48.3193,18.9076,476.8908,73.5294,2.1008,50.4202,4.2017,16.8067,0,50.4202,31.5126,60.9244,2.1008,144.958,119.7479,63.8582,71.2786,0.4769,0.2248,0.1471,0.0567,0.0483,16.8067,0.4664,0.6729,0.8714,0.8519,0.5652,0.7403,0.5273,0.6449,0.6143,0.8148,0.5652,0.6598,0,0.25,0.2222,0.3478,0.279,0.2174,0.2572,0.0281,0.0643,0.0203,0.0365,1
6,15,2,2,156,181,15,4,14,6,85,37,5,13,6,26,19,32,0,16,0,6,5,5,0,12,1,0,0,1.24,1.14,99,3.2667,3.434,700.385,0.0496,1.7333,3.3333,320.5128,166.6667,4.1333,110.3883,83.1551,4,3,0,8,0,15,0.6529,0.1204,0.6623,0.1134,0.5492,0.0932,2.5,10.4,4.5705,4.4231,1.8846,2.1333,1.6667,2.8095,5.6061,1,6.8462,0,4.1333,6.4677,17.6471,22.9508,1.6073,4.8689,2.4472,2.3067,0.9403,1.9956,2.0535,96.1538,38.4615,0,0,32.0513,0,0,32.0513,0,38.4615,76.9231,121.7949,166.6667,237.1795,4,25.641,38.4615,102.5641,0,544.8718,96.1538,25.641,51.2821,0,19.2308,0,32.0513,25.641,38.4615,0,96.1538,89.7436,113.1224,147.1205,0.5449,0.2372,0.1667,0.0385,0.1026,6.4103,0.6346,0.7568,0.7692,0.6667,0.5625,0.6888,0.7179,0.7568,0.7692,0.6667,0.5625,0.6888,0.0976,0,0.0526,0.0714,0.0952,0,0.0762,0.0079,0.0286,0.0238,0.0687,1
4,16,6,7,319,361,56,10,50,26,168,65,19,37,23,52,31,56,4,25,4,10,18,17,2,24,4,0,0,1.5119,1.2857,183,4.5,2.855,1145.4842,0.0471,3.25,5.25,263.3229,163.0094,5.625,81.4482,62.3658,8,4,1,18,4,35,0.7645,0.0954,0.7413,0.0866,0.7335,0.0192,4,19.9375,4.6834,4.5987,2.069,3.5,2.625,3.9121,6.7812,2.0909,7.7547,0.2667,8.4375,7.1259,33.3333,36.4964,2.5495,10.0341,2.9874,2.929,1.2015,4.0769,2.7065,50.1567,12.5392,0,0,56.4263,0,0,53.2915,6.2696,31.348,75.2351,97.1787,163.0094,203.7618,0,0,81.5047,78.3699,12.5392,526.6458,109.7179,25.0784,56.4263,12.5392,12.5392,3.1348,59.5611,31.348,72.1003,12.5392,175.5486,156.7398,104.4931,114.4088,0.5266,0.2038,0.163,0.0815,0.0784,12.5392,0.5737,0.7231,0.8846,0.9615,0.76,0.8323,0.605,0.7077,0.7692,0.9615,0.76,0.7996,0,0.0833,0.3243,0.3333,0.3833,0.1333,0.225,0.0186,0.0378,0.0163,0.0287,1
4,19,2,1,332,378,54,8,48,9,172,59,14,33,30,71,43,70,7,33,2,14,28,19,0,40,9,4,3,1,0.8854,184,3.0526,2.9237,966.4363,0.05,3.7368,5.0526,289.1566,213.8554,5.2632,93.3703,68.294,10,7,3,12,5,37,0.7647,0.0685,0.7502,0.0707,0.7903,0.0644,4.75,17.4737,4.6627,4.5753,2.012,3.6842,2.4211,4.1084,6.3333,1.6,7.9111,0.4375,6.8947,7.2214,31.3953,37.2093,3.562,10.1741,2.7748,2.6361,1.1327,4.4709,2.2692,57.2289,12.0482,1,3.012,84.3373,12.0482,9.0361,57.2289,0,42.1687,120.4819,129.5181,213.8554,177.7108,0,0,27.1084,99.3976,21.0843,518.0723,111.4458,30.1205,36.1446,15.0602,21.0843,9.0361,42.1687,24.0964,90.3614,6.0241,162.6506,144.5783,94.5642,112.0762,0.5181,0.1777,0.2139,0.0271,0.0994,27.1084,0.5542,0.6949,0.8732,0.8889,0.5758,0.7582,0.6145,0.6949,0.7606,0.8889,0.5758,0.7301,0,0.1333,0.1639,0.2778,0.3216,0.1667,0.1988,0.0235,0.042,0.0248,0.0368,1
