num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_noun,num_lexic_words,num_verb,num_total_prop,num_proper_noun,num_rare_words,num_rare_nouns,num_dif_rare_words,num_adv,num_adj,num_inf,num_subord,num_indic,num_rare_advb,num_neg,num_rare_verbs,num_rare_adj,num_personal_pronouns,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
17,121.0,2,2,1315.0,1692.0,468.0,923.0,313.0,355.0,59.0,87.0,26.0,37.0,72.0,70.0,67.0,144.0,74.0,3.0,11.0,52.0,6.0,2.0,0.481,0.4163,732,4.3471,2475.7521,1141.5268,0.031,2.5868,4.3471,400.0,238.0228,4.3223,345.9671,34.0,26.0,0.0,129.0,36.0,225.0,7.1176,10.8678,6.5752,5.7389,2.9255,2.9339,3.1157,6.4558,5.9572,2.3372,7.7778,7.7934,7.5843,9.4258,15.2893,3.3586,5.7135,3.0316,2.4219,1.3523,4.6531,2.8023,92.0152,12.9278,0.0,0.0,1.5209,50.9506,109.5057,56.2738,238.0228,355.8935,44.8669,53.2319,54.7529,701.9011,171.1027,25.8555,98.0989,27.3764,19.7719,0.0,19.7719,4.5627,39.5437,2.2814,66.1597,28.1369,7.1679,11.6268,0.7019,0.3559,0.238,0.0532,0.0548,8.365,0.5567,0.6603,0.6486,0.8714,0.6944,0.7187,0.5673,0.4466,0.3514,0.6714,0.6944,0.541,0.112,0.1154,0.0837,0.125,0.0438,0.125,0.0441,0.0142,0.0343,0.0067,0.022
21,75.0,1,4,1268.0,1598.0,356.0,792.0,279.0,299.0,52.0,76.0,16.0,29.0,82.0,75.0,52.0,154.0,74.0,4.0,21.0,51.0,5.0,6.0,0.7913,0.6408,610,6.7333,979.44,927.8935,0.041,3.72,5.4933,324.9211,220.0315,5.36,225.5581,48.0,14.0,12.0,100.0,20.0,194.0,3.5714,16.9067,6.6217,5.582,2.9235,3.9867,4.4,6.4444,5.3368,2.1,7.225,11.8133,7.5418,9.596,16.0221,1.4983,8.1456,2.7567,2.2074,1.2849,6.181,2.466,59.1483,16.5615,0.0,0.0,4.7319,41.0095,121.4511,58.3596,220.0315,280.7571,41.0095,59.1483,64.6688,624.6057,152.9968,37.8549,78.8644,15.7729,11.041,9.4637,12.6183,3.9432,40.2208,3.1546,59.9369,22.8707,7.5678,12.6357,0.6246,0.2808,0.22,0.0591,0.0647,16.5615,0.4811,0.618,0.5448,0.7867,0.5488,0.6246,0.5221,0.3989,0.2688,0.64,0.5854,0.4733,0.1275,0.2037,0.2417,0.2162,0.1341,0.2162,0.1351,0.0202,0.0357,0.0139,0.0265
18,71.0,6,5,1131.0,1420.0,336.0,733.0,275.0,321.0,38.0,31.0,9.0,20.0,57.0,65.0,63.0,152.0,49.0,1.0,25.0,20.0,1.0,3.0,0.576,0.5013,655,5.6901,1995.338,1273.8968,0.0299,3.8732,5.2817,331.565,243.1477,5.0704,332.0613,14.0,8.0,10.0,130.0,15.0,177.0,3.9444,15.9296,6.7945,5.7464,3.0504,4.5211,4.0704,6.4126,5.7343,2.7901,7.627,11.4085,7.8346,4.2292,10.1523,1.5082,7.6182,2.9095,2.2632,1.3158,5.4271,2.581,62.7763,15.9151,0.0,0.0,2.6525,55.7029,134.3943,43.3245,243.1477,297.0822,33.5986,57.4713,50.3979,648.099,156.4987,12.3784,114.9425,13.2626,7.0734,8.8417,7.9576,0.8842,17.6835,0.8842,27.4094,17.6835,3.7393,8.9764,0.6481,0.2971,0.2431,0.0575,0.0504,22.1043,0.5791,0.7411,0.6691,0.8462,0.6842,0.7352,0.5712,0.5565,0.3418,0.6462,0.6667,0.5528,0.1016,0.2075,0.16,0.1857,0.0833,0.1857,0.0857,0.0197,0.0344,0.0079,0.0211
29,106.0,3,5,1751.0,2196.0,545.0,1167.0,419.0,422.0,76.0,81.0,16.0,37.0,117.0,86.0,90.0,233.0,93.0,6.0,23.0,56.0,3.0,0.0,0.634,0.5294,933,6.1415,1370.3113,1205.5721,0.031,3.9528,5.7736,349.5146,239.2918,5.3396,385.6618,43.0,21.0,4.0,169.0,28.0,265.0,3.6552,16.5189,6.3843,5.3386,2.9035,3.9811,4.1981,7.6969,5.7544,2.2524,7.7363,11.8774,7.2129,6.9409,12.9825,1.3715,7.3654,2.7938,2.1181,1.3311,5.6397,2.6547,60.5368,16.562,0.0,0.0,0.0,51.3992,133.0668,53.1125,239.2918,311.2507,43.4038,49.1148,66.819,666.4763,151.3421,24.5574,96.5163,15.9909,11.9931,2.2844,9.1376,1.7133,31.9817,3.4266,46.2593,21.1308,3.964,7.4143,0.6665,0.3113,0.2393,0.0491,0.0668,13.1354,0.5328,0.7119,0.6014,0.7907,0.547,0.6628,0.5745,0.4624,0.2983,0.6279,0.547,0.4839,0.1224,0.1169,0.1071,0.1143,0.0595,0.1143,0.0598,0.0112,0.0276,0.0078,0.0193
31,99.0,5,4,1553.0,1948.0,494.0,1003.0,343.0,354.0,71.0,90.0,19.0,30.0,86.0,80.0,67.0,162.0,92.0,3.0,26.0,63.0,5.0,1.0,0.6467,0.5471,833,5.5253,540.0202,1145.7956,0.0317,3.4646,5.5758,355.4411,220.8628,5.0101,413.4933,25.0,19.0,0.0,127.0,40.0,211.0,3.1935,15.6869,6.7723,6.0799,2.9652,3.5758,3.9899,6.692,5.8415,2.2747,7.9355,10.8889,7.7764,8.9731,12.0968,1.33,8.8974,2.8785,12.5022,1.3604,6.6528,2.596,63.7476,19.9614,0.0,0.0,0.6439,43.1423,104.3142,59.2402,220.8628,318.094,45.718,51.5132,55.3767,645.8467,135.8661,16.0979,81.7772,25.7566,12.2344,0.0,12.2344,3.2196,40.5666,1.9317,57.9524,19.3175,5.7779,7.7893,0.6458,0.3181,0.2209,0.0515,0.0554,16.7418,0.5364,0.6842,0.6035,0.825,0.6163,0.6823,0.5486,0.4737,0.309,0.6375,0.6163,0.5091,0.1257,0.1618,0.125,0.1735,0.0664,0.1735,0.0695,0.0141,0.0263,0.0096,0.0233
