prop,num_punct_in_sentence,num_decendents_noun_phrase,num_modifiers_noun_phrase,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
3,2,0.7667,0.7,8.1429,2.0,1565.9943,0.0235,3.4286,4.2857,312.5,250.0,5.4286,172.032,0.6902,0.0495,0.638,0.0964,0.6935,0.0536,1.4,13.7143,6.1383,5.1596,2.6907,3.4286,2.5714,4.0769,7.4762,1.6667,8.4444,9.7143,7.1471,10.7692,26.9231,0.8,4.2666,2.5995,1.7942,1.1959,3.5341,2.2833,72.9167,52.0833,0.0,0.0,52.0833,145.8333,72.9167,250.0,312.5,10.4167,72.9167,41.6667,677.0833,125.0,10.4167,114.5833,0.0,0.0,0.0,31.25,10.4167,31.25,0.0,72.9167,72.9167,112.1792,280.449,0.6771,0.3125,0.25,0.0729,0.0417,20.8333,0.8229,0.8667,0.9583,0.8571,1.0,0.9205,0.7812,0.7333,0.5833,0.8571,1.0,0.7934,0.0323,0.0,0.0,0.5,0.2857,0.5,0.2857,0.0402,0.043,0.0246,0.0338
1,2,0.5526,0.4737,4.8,59.1,1135.8153,0.032,2.9,3.8,368.932,281.5534,4.1,144.2133,0.5876,0.1065,0.5469,0.1221,0.5796,0.1405,2.0,10.3,6.43,5.28,2.9135,2.8,2.6,7.5833,5.2857,2.4286,6.7143,7.1,7.4507,8.5714,24.0,0.8944,5.3861,2.5856,1.7837,1.2256,3.5341,2.3122,97.0874,48.5437,0.0,0.0,9.7087,135.9223,97.0874,281.5534,310.6796,58.2524,58.2524,29.1262,679.6117,135.9223,48.5437,77.6699,0.0,9.7087,0.0,9.7087,19.4175,29.1262,0.0,58.2524,58.2524,83.2175,233.0097,0.6796,0.3107,0.2816,0.0583,0.0291,0.0,0.767,0.9062,0.7931,1.0,1.0,0.9248,0.8252,0.8125,0.5862,1.0,1.0,0.8497,0.1579,0.2,0.1429,0.2222,0.0667,0.2222,0.0667,0.024,0.045,0.0105,0.0311
3,2,0.875,0.7292,4.8462,109.8462,1295.2807,0.0363,2.3077,3.6923,317.8808,198.6755,4.9231,127.9744,0.6556,0.0983,0.5926,0.0961,0.6296,0.0938,2.1667,11.6154,5.965,5.3706,2.6645,2.4615,2.6923,4.9792,5.4324,1.5455,7.0769,7.3846,7.0,8.1633,19.0476,0.8975,5.3714,2.4017,1.891,1.1918,3.7322,2.1457,86.0927,39.7351,0.0,0.0,46.3576,92.7152,59.6026,198.6755,264.9007,59.6026,92.7152,92.7152,649.0066,185.4305,79.4702,66.2252,19.8675,6.6225,13.245,19.8675,6.6225,26.4901,0.0,52.9801,52.9801,54.0616,126.143,0.649,0.2649,0.1987,0.0927,0.0927,19.8675,0.7086,0.7,0.8333,1.0,0.8571,0.8476,0.6689,0.675,0.4667,0.7857,0.8571,0.6961,0.1837,0.2857,0.2,0.4167,0.2692,0.4167,0.2692,0.0459,0.0737,0.0296,0.0478
1,3,0.7843,0.5686,5.3636,23.2727,1322.7941,0.0426,2.2727,4.6364,375.0,183.8235,5.0,110.5776,0.7201,0.0558,0.6668,0.1179,0.6955,0.0585,2.2,12.3636,6.9297,5.6641,3.1765,2.8182,2.5455,7.6,4.7368,1.625,7.0,7.5455,8.506,9.1954,15.3846,1.4697,7.4988,3.387,2.2054,1.631,4.9793,3.0275,80.8824,36.7647,0.0,7.3529,22.0588,88.2353,73.5294,183.8235,375.0,0.0,58.8235,22.0588,639.7059,264.7059,14.7059,176.4706,44.1176,29.4118,0.0,0.0,0.0,58.8235,0.0,58.8235,29.4118,67.6132,113.1221,0.6397,0.375,0.1838,0.0588,0.0221,7.3529,0.6838,0.7255,0.8,1.0,1.0,0.8814,0.7647,0.451,0.52,1.0,1.0,0.7428,0.0,0.3333,0.4167,0.4,0.3273,0.4,0.3273,0.0425,0.0558,0.0286,0.0418
3,3,0.6479,0.5775,5.5333,11067.8667,1222.6339,0.034,3.0,4.7333,371.7277,235.6021,4.2667,194.3846,0.5822,0.0942,0.538,0.1227,0.5678,0.0997,1.875,12.7333,6.1803,5.3516,2.7696,3.2667,3.0667,7.6857,6.2941,2.9091,7.913,8.6667,7.0615,9.2308,17.7778,1.0533,8.3942,2.5361,1.9007,1.1113,6.3316,2.2592,78.534,41.8848,0.0,10.4712,52.356,115.1832,57.5916,235.6021,345.5497,10.4712,62.8272,36.6492,680.6283,204.1885,52.356,94.2408,41.8848,15.7068,0.0,10.4712,10.4712,41.8848,0.0,62.8272,41.8848,48.3288,93.0775,0.6806,0.3455,0.2356,0.0628,0.0366,20.9424,0.7016,0.803,0.7778,0.9167,1.0,0.8744,0.7016,0.6061,0.5111,0.9167,1.0,0.7585,0.0294,0.0,0.1818,0.0714,0.1619,0.0714,0.1619,0.0057,0.0206,0.0162,0.0366
