num_paragraphs,num_sentences,prop,num_punct_in_sentence,num_words,num_words_with_punct,num_proper_noun,num_total_prop,num_verb,num_lexic_words,num_noun,num_subord,num_adj,num_rare_words,num_rare_verbs,num_dif_rare_words,num_indic,num_adv,num_neg,num_inf,num_rare_nouns,num_rare_adj,num_rare_advb,num_personal_pronouns,num_decendents_noun_phrase,num_modifiers_noun_phrase,num_different_forms,left_embeddedness,min_wf_per_sentence,honore,maas,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,mean_depth_per_sentence,mtld,causal_connectives,temporal_connectives,conditional_connectives,logical_connectives,adversative_connectives,all_connectives,similarity_adjacent_mean,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,similarity_adjacent_par_mean,similarity_adjacent_par_std,sentences_per_paragraph_mean,sentences_length_mean,words_length_mean,lemmas_length_mean,num_syllables_words_mean,mean_propositions_per_sentence,num_punct_marks_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,sentences_length_no_stopwords_mean,words_length_no_stopwords_mean,mean_rare,mean_distinct_rare,sentences_per_paragraph_std,sentences_length_std,words_length_std,lemmas_length_std,num_syllables_words_std,sentences_length_no_stopwords_std,words_length_no_stopwords_std,num_sentences_incidence,num_paragraphs_incidence,num_impera,num_impera_incidence,num_personal_pronouns_incidence,infinitive_incidence,num_subord_incidence,num_indic_incidence,num_verb_incidence,num_noun_incidence,num_proper_noun_incidence,num_adj_incidence,num_adv_incidence,num_lexic_words_incidence,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,num_rare_nouns_incidence,num_rare_adj_incidence,num_rare_verbs_incidence,num_rare_advb_incidence,num_rare_words_incidence,num_dif_rare_words_incidence,mean_rare_incidence,mean_distinct_rare_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,negation_incidence,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,ratio_proper_nouns_per_nouns,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std
28,89.0,4,2,1329.0,1675.0,84.0,313.0,293.0,861.0,398.0,148.0,83.0,96.0,65.0,29.0,78.0,87.0,24.0,26.0,19.0,5.0,7.0,1.0,0.6674,0.5432,704,5.2809,581.4719,1157.3482,0.034,3.2921,5.3371,357.4116,220.4665,5.0449,303.4449,19.0,35.0,2.0,127.0,34.0,217.0,0.6215,0.1419,0.6026,0.1275,0.6187,0.1055,3.1786,14.9326,6.6439,5.7351,2.8893,3.5169,3.8876,6.8989,5.781,2.3152,7.9067,9.9326,7.7896,11.1498,12.7193,1.1356,8.0348,2.9417,2.2488,1.3723,5.8995,2.6046,66.9676,21.0685,0.0,0.0,0.7524,19.5636,111.3619,58.6907,220.4665,299.4733,63.2054,62.453,65.4628,647.8555,163.2807,14.2965,95.5606,25.5831,26.3356,1.5049,14.2965,3.7622,48.909,5.2671,72.2348,21.8209,8.3896,9.5706,0.6479,0.2995,0.2205,0.0625,0.0655,18.0587,0.5297,0.6633,0.5802,0.8072,0.6207,0.6679,0.6027,0.4975,0.3208,0.506,0.5977,0.4805,0.1743,0.1639,0.2,0.1477,0.0901,0.1477,0.0917,0.0172,0.0341,0.0111,0.025
28,90.0,6,5,1278.0,1615.0,54.0,367.0,319.0,867.0,432.0,200.0,55.0,81.0,59.0,25.0,84.0,61.0,8.0,54.0,18.0,3.0,1.0,1.0,0.6165,0.5299,692,6.6556,775.9667,1125.5075,0.033,3.5444,5.3889,379.4992,249.6088,5.3444,342.8333,16.0,14.0,1.0,124.0,20.0,175.0,0.6687,0.1001,0.6266,0.0984,0.6443,0.083,3.2143,14.2,6.8622,5.7413,3.0407,4.0778,3.7444,5.7645,6.0285,2.3662,7.5143,10.2333,7.8382,9.3426,11.9617,1.4481,7.8375,3.0465,2.3305,1.4114,5.869,2.7861,70.4225,21.9092,0.0,0.0,0.7825,42.2535,156.4945,65.7277,249.6088,338.0282,42.2535,43.036,47.7308,678.4038,136.9327,12.5196,97.0266,15.6495,10.9546,0.7825,14.0845,2.3474,46.1659,0.7825,63.3803,19.5618,7.3103,9.3597,0.6784,0.338,0.2496,0.043,0.0477,6.2598,0.5415,0.6852,0.605,0.9455,0.5738,0.7024,0.5626,0.4815,0.3135,0.6727,0.541,0.5022,0.1111,0.1774,0.1318,0.1573,0.0654,0.1685,0.0669,0.019,0.0402,0.0101,0.0251
25,81.0,3,5,1182.0,1510.0,41.0,293.0,295.0,776.0,351.0,139.0,67.0,56.0,47.0,22.0,76.0,63.0,17.0,65.0,3.0,6.0,0.0,6.0,0.5758,0.5025,635,4.5679,1583.6296,1083.9512,0.0344,3.642,4.8889,335.0254,249.577,4.9877,262.6685,31.0,15.0,3.0,109.0,35.0,193.0,0.662,0.0819,0.6343,0.0951,0.6473,0.0824,3.24,14.5926,6.716,5.7277,3.0186,3.6173,4.0494,6.4608,5.5779,2.0462,7.291,10.1605,7.8007,7.2165,11.7021,1.2737,6.9332,3.1575,2.4411,1.4961,4.7906,2.9531,68.5279,21.1506,0.0,0.0,5.0761,54.9915,117.5973,64.2978,249.577,296.9543,34.687,56.6836,53.2995,656.5144,163.2826,26.2267,92.2166,29.6108,12.6904,2.5381,2.5381,5.0761,39.7631,0.0,47.3773,18.6125,6.1053,9.9003,0.6565,0.297,0.2496,0.0567,0.0533,14.3824,0.5372,0.7151,0.5932,0.8806,0.6032,0.698,0.5964,0.5271,0.3559,0.791,0.6032,0.5693,0.1046,0.125,0.0901,0.1,0.0494,0.1,0.0466,0.0154,0.0269,0.0082,0.0214
39,132.0,2,3,1657.0,2024.0,129.0,341.0,343.0,1009.0,497.0,126.0,90.0,75.0,55.0,30.0,106.0,79.0,27.0,41.0,11.0,9.0,0.0,1.0,0.7285,0.6209,774,4.2424,17580.447,1132.6162,0.0396,2.5985,4.5758,364.5142,207.0006,4.5606,205.4269,13.0,18.0,3.0,158.0,58.0,250.0,0.6106,0.1216,0.5824,0.1125,0.5997,0.059,3.3846,12.553,6.3956,5.6131,2.7811,2.5833,2.7803,7.4453,5.2949,1.8873,7.5561,8.0,7.5133,7.4331,11.6279,1.3889,6.5323,2.7799,2.1109,1.2684,4.4279,2.5498,79.662,23.5365,0.0,0.0,0.6035,24.7435,76.041,63.971,207.0006,299.9396,77.8515,54.315,47.6765,608.9318,150.8751,7.8455,95.353,35.003,10.863,1.8105,6.6385,5.4315,33.1925,0.0,45.2625,18.105,4.4859,7.0174,0.6089,0.2999,0.207,0.0543,0.0477,16.2945,0.4671,0.6519,0.5044,0.8,0.6203,0.6442,0.5281,0.4748,0.2624,0.6333,0.6076,0.4945,0.2061,0.1075,0.1231,0.1145,0.077,0.1145,0.077,0.0201,0.0428,0.0121,0.0292
22,79.0,5,4,1223.0,1524.0,48.0,314.0,291.0,821.0,382.0,159.0,77.0,70.0,45.0,36.0,79.0,71.0,20.0,50.0,20.0,5.0,0.0,1.0,0.5495,0.467,722,5.7089,1012.7215,1311.2482,0.028,3.6835,5.3671,346.6885,237.9395,5.3418,427.8667,22.0,10.0,3.0,125.0,24.0,184.0,0.6481,0.1089,0.6197,0.1075,0.6425,0.1072,3.5909,15.481,6.3653,5.4452,2.8553,3.9747,3.8101,6.692,5.7018,2.4578,7.5586,10.8354,7.3224,8.5262,15.0628,1.642,7.3775,2.7647,2.1755,1.2773,5.0752,2.535,64.5953,17.9886,0.0,0.0,0.8177,40.8831,130.0082,64.5953,237.9395,312.3467,39.2478,62.9599,58.054,671.3001,150.4497,17.9886,102.2077,19.6239,8.1766,2.453,16.3532,4.0883,36.7948,0.0,57.2363,29.4358,6.9715,12.3163,0.6713,0.3123,0.2379,0.063,0.0581,16.3532,0.5904,0.7225,0.6289,0.9091,0.7746,0.7588,0.6026,0.5707,0.3505,0.7922,0.7606,0.6185,0.1116,0.0877,0.0833,0.1026,0.0704,0.1026,0.0704,0.0126,0.0229,0.0097,0.0222
